#V_apd	I_dark(nA)	ErrI_dark
0	1.734		0.005
10	6.07		0.01
20	9.15		0.01
40	12.77		0.01
60	15.13		0.01
100	17.57		0.01
150	19.11		0.01
200	22.71		0.01
250	24.97		0.01
300	44.88		0.01
340	55.64		0.01
345	57.48		0.01
350	59.94		0.01
355	62.62		0.01
360	65.56		0.01
365	68.94		0.01
370	73.57		0.01
375	78.72		0.01
380	85.75		0.01
381	87.31		0.01
382	89.28		0.01
383	91.37		0.01
384	94.88		0.01
385	99.69		0.01
386	109.3		0.1
#387	4500		100
