LECROYWR6050,144,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,18-Jan-2002 23:34:49,0                 
Time,Ampl
-9.77722e-009,-0.000127563
-9.57722e-009,-0.00101146
-9.37722e-009,-0.00101146
-9.17722e-009,-0.000127563
-8.97722e-009,-0.000127563
-8.77722e-009,-0.00101146
-8.57722e-009,-0.00101146
-8.37722e-009,-0.000127563
-8.17722e-009,-0.000127563
-7.97722e-009,-0.000127563
-7.77722e-009,-0.00101146
-7.57722e-009,-0.00101146
-7.37722e-009,-0.000127563
-7.17722e-009,-0.00277924
-6.97722e-009,-0.00101146
-6.77722e-009,-0.00101146
-6.57722e-009,-0.000127563
-6.37722e-009,-0.000127563
-6.17722e-009,0.000756329
-5.97722e-009,0.000756329
-5.77722e-009,-0.000127563
-5.57722e-009,0.000756329
-5.37722e-009,0.00164022
-5.17722e-009,0.000756329
-4.97722e-009,-0.000127563
-4.77722e-009,-0.000127563
-4.57722e-009,-0.000127563
-4.37722e-009,-0.00101146
-4.17722e-009,-0.00189535
-3.97722e-009,-0.00101146
-3.77722e-009,-0.000127563
-3.57722e-009,-0.000127563
-3.37722e-009,0.000756329
-3.17722e-009,-0.000127563
-2.97722e-009,-0.00101146
-2.77722e-009,-0.00101146
-2.57722e-009,-0.000127563
-2.37722e-009,0.000756329
-2.17722e-009,0.00164022
-1.97722e-009,0.000756329
-1.77722e-009,0.00164022
-1.57722e-009,-0.000127563
-1.37722e-009,-0.00101146
-1.17722e-009,-0.00101146
-9.77223e-010,-0.00189535
-7.77223e-010,-0.00189535
-5.77223e-010,0.000756329
-3.77223e-010,0.000756329
-1.77223e-010,-0.00101146
2.27767e-011,-0.000127563
2.22777e-010,-0.000127563
4.22777e-010,-0.00101146
6.22777e-010,0.000756329
8.22777e-010,0.00164022
1.02278e-009,0.000756329
1.22278e-009,0.00164022
1.42278e-009,0.000756329
1.62278e-009,0.000756329
1.82278e-009,-0.000127563
2.02278e-009,-0.000127563
2.22278e-009,-0.00101146
2.42278e-009,-0.000127563
2.62278e-009,-0.000127563
2.82278e-009,-0.000127563
3.02278e-009,-0.00189535
3.22278e-009,0.000756329
3.42278e-009,-0.000127563
3.62278e-009,0.00164022
3.82278e-009,0.000756329
4.02278e-009,0.000756329
4.22278e-009,-0.000127563
4.42278e-009,-0.00101146
4.62278e-009,-0.00189535
4.82278e-009,0.00164022
5.02278e-009,-0.000127563
5.22278e-009,-0.000127563
5.42278e-009,-0.000127563
5.62278e-009,0.000756329
5.82278e-009,-0.00101146
6.02278e-009,0.00252411
6.22278e-009,0.000756329
6.42278e-009,-0.000127563
6.62278e-009,0.00164022
6.82278e-009,-0.00189535
7.02278e-009,-0.00101146
7.22278e-009,0.000756329
7.42278e-009,-0.000127563
7.62278e-009,0.000756329
7.82278e-009,0.000756329
8.02278e-009,-0.00101146
8.22278e-009,-0.000127563
8.42278e-009,0.00164022
8.62278e-009,0.00252411
8.82278e-009,-0.000127563
9.02278e-009,0.00164022
9.22278e-009,0.00164022
9.42278e-009,-0.000127563
9.62278e-009,0.000756329
9.82278e-009,0.00164022
1.00228e-008,0.000756329
1.02228e-008,-0.000127563
1.04228e-008,-0.000127563
1.06228e-008,-0.00101146
1.08228e-008,-0.00189535
1.10228e-008,-0.00189535
1.12228e-008,0.000756329
1.14228e-008,0.00164022
1.16228e-008,0.000756329
1.18228e-008,0.000756329
1.20228e-008,-0.00189535
1.22228e-008,-0.00101146
1.24228e-008,-0.00189535
1.26228e-008,0.000756329
1.28228e-008,-0.00101146
1.30228e-008,-0.00101146
1.32228e-008,0.000756329
1.34228e-008,0.000756329
1.36228e-008,0.00164022
1.38228e-008,0.00252411
1.40228e-008,0.000756329
