Data: lunedì 18 maggio 2020	Ora: 14:55
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 ROUTE66_HR_XPS	
pass energy/rall 1: 0.00	pass energy/rall 2: 40.00	
******************************************************
Scansione:    angolo polare
Min (eV): 242.00	Max (eV): 343.00	Step (eV): 0.25	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 1198.70
polar angle (deg): 343.00	X axis (mm): 580.50
*******************  R66 parameters ********************
Step in ch_x_eV: 10	Ch x eV @ Ep=1eV: 5236
binned channels: 14	same region acquisitions: 41
******************************************************
Acq. time (s):  1.00	Number of scans:  1	Total acq. time (s):  1.00
******************************************************
242.000000	4.000000
242.250000	8.000000
242.500000	6.000000
242.750000	8.000000
243.000000	6.000000
243.250000	11.000000
243.500000	14.000000
243.750000	11.000000
244.000000	10.000000
244.250000	10.000000
244.500000	22.000000
244.750000	18.000000
245.000000	21.000000
245.250000	26.000000
245.500000	18.000000
245.750000	31.000000
246.000000	33.000000
246.250000	42.000000
246.500000	47.000000
246.750000	64.000000
247.000000	66.000000
247.250000	76.000000
247.500000	84.000000
247.750000	98.000000
248.000000	119.000000
248.250000	136.000000
248.500000	150.000000
248.750000	182.000000
249.000000	157.000000
249.250000	179.000000
249.500000	204.000000
249.750000	229.000000
250.000000	240.000000
250.250000	232.000000
250.500000	277.000000
250.750000	287.000000
251.000000	316.000000
251.250000	322.000000
251.500000	385.000000
251.750000	413.000000
252.000000	424.000000
252.250000	497.000000
252.500000	494.000000
252.750000	558.000000
253.000000	558.000000
253.250000	604.000000
253.500000	600.000000
253.750000	614.000000
254.000000	641.000000
254.250000	623.000000
254.500000	741.000000
254.750000	690.000000
255.000000	736.000000
255.250000	693.000000
255.500000	725.000000
255.750000	744.000000
256.000000	734.000000
256.250000	713.000000
256.500000	728.000000
256.750000	769.000000
257.000000	745.000000
257.250000	753.000000
257.500000	744.000000
257.750000	715.000000
258.000000	785.000000
258.250000	759.000000
258.500000	746.000000
258.750000	756.000000
259.000000	764.000000
259.250000	684.000000
259.500000	687.000000
259.750000	730.000000
260.000000	775.000000
260.250000	772.000000
260.500000	737.000000
260.750000	751.000000
261.000000	756.000000
261.250000	797.000000
261.500000	740.000000
261.750000	722.000000
262.000000	699.000000
262.250000	762.000000
262.500000	744.000000
262.750000	788.000000
263.000000	765.000000
263.250000	787.000000
263.500000	749.000000
263.750000	743.000000
264.000000	767.000000
264.250000	703.000000
264.500000	727.000000
264.750000	703.000000
265.000000	738.000000
265.250000	744.000000
265.500000	739.000000
265.750000	734.000000
266.000000	725.000000
266.250000	721.000000
266.500000	750.000000
266.750000	686.000000
267.000000	733.000000
267.250000	728.000000
267.500000	706.000000
267.750000	688.000000
268.000000	720.000000
268.250000	697.000000
268.500000	687.000000
268.750000	713.000000
269.000000	721.000000
269.250000	748.000000
269.500000	700.000000
269.750000	673.000000
270.000000	728.000000
270.250000	731.000000
270.500000	700.000000
270.750000	681.000000
271.000000	719.000000
271.250000	702.000000
271.500000	698.000000
271.750000	675.000000
272.000000	736.000000
272.250000	695.000000
272.500000	657.000000
272.750000	683.000000
273.000000	661.000000
273.250000	646.000000
273.500000	665.000000
273.750000	679.000000
274.000000	728.000000
274.250000	696.000000
274.500000	694.000000
274.750000	685.000000
275.000000	641.000000
275.250000	649.000000
275.500000	699.000000
275.750000	676.000000
276.000000	656.000000
276.250000	708.000000
276.500000	686.000000
276.750000	686.000000
277.000000	698.000000
277.250000	624.000000
277.500000	654.000000
277.750000	682.000000
278.000000	667.000000
278.250000	714.000000
278.500000	637.000000
278.750000	687.000000
279.000000	613.000000
279.250000	687.000000
279.500000	683.000000
279.750000	625.000000
280.000000	613.000000
280.250000	645.000000
280.500000	604.000000
280.750000	631.000000
281.000000	666.000000
281.250000	586.000000
281.500000	628.000000
281.750000	651.000000
282.000000	589.000000
282.250000	624.000000
282.500000	610.000000
282.750000	603.000000
283.000000	607.000000
283.250000	642.000000
283.500000	590.000000
283.750000	644.000000
284.000000	622.000000
284.250000	615.000000
284.500000	620.000000
284.750000	631.000000
285.000000	625.000000
285.250000	613.000000
285.500000	590.000000
285.750000	580.000000
286.000000	557.000000
286.250000	602.000000
286.500000	582.000000
286.750000	535.000000
287.000000	598.000000
287.250000	572.000000
287.500000	634.000000
287.750000	596.000000
288.000000	546.000000
288.250000	615.000000
288.500000	630.000000
