Data: lunedì 11 maggio 2020	Ora: 11:36
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 ROUTE66_HR_XPS	
pass energy/rall 1: 0.00	pass energy/rall 2: 40.00	
******************************************************
Scansione:    X manip
Min (eV): 570.20	Max (eV): 588.00	Step (eV): 0.20	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 1198.70
polar angle (deg): 267.00	X axis (mm): 588.00
*******************  R66 parameters ********************
Step in ch_x_eV: 10	Ch x eV @ Ep=1eV: 5236
binned channels: 11	same region acquisitions: 41
******************************************************
Acq. time (s):  1.00	Number of scans:  1	Total acq. time (s):  1.00
******************************************************
570.200000	223.000000
570.400000	227.000000
570.600000	229.000000
570.800000	218.000000
571.000000	198.000000
571.200000	179.000000
571.400000	136.000000
571.600000	107.000000
571.800000	82.000000
572.000000	63.000000
572.200000	44.000000
572.400000	27.000000
572.600000	29.000000
572.800000	26.000000
573.000000	33.000000
573.200000	37.000000
573.400000	27.000000
573.600000	27.000000
573.800000	22.000000
574.000000	24.000000
574.200000	41.000000
574.400000	32.000000
574.600000	24.000000
574.800000	41.000000
575.000000	39.000000
575.200000	60.000000
575.400000	80.000000
575.600000	127.000000
575.800000	178.000000
576.000000	190.000000
576.200000	280.000000
576.400000	344.000000
576.600000	406.000000
576.800000	429.000000
577.000000	513.000000
577.200000	562.000000
577.400000	528.000000
577.600000	582.000000
577.800000	597.000000
578.000000	625.000000
578.200000	579.000000
578.400000	620.000000
578.600000	562.000000
578.800000	549.000000
579.000000	596.000000
579.200000	600.000000
579.400000	628.000000
579.600000	576.000000
579.800000	556.000000
580.000000	573.000000
580.200000	626.000000
580.400000	584.000000
580.600000	602.000000
580.800000	570.000000
581.000000	563.000000
581.200000	531.000000
581.400000	549.000000
581.600000	504.000000
581.800000	489.000000
582.000000	523.000000
582.200000	525.000000
582.400000	497.000000
582.600000	496.000000
582.800000	423.000000
583.000000	401.000000
583.200000	373.000000
583.400000	338.000000
583.600000	287.000000
583.800000	199.000000
584.000000	146.000000
584.200000	98.000000
584.400000	69.000000
584.600000	64.000000
584.800000	40.000000
585.000000	39.000000
585.200000	26.000000
585.400000	22.000000
585.600000	18.000000
585.800000	23.000000
586.000000	15.000000
586.200000	24.000000
586.400000	18.000000
586.600000	19.000000
586.800000	12.000000
587.000000	15.000000
587.200000	22.000000
587.400000	18.000000
587.600000	29.000000
587.800000	33.000000
588.000000	43.000000
