 - Plot 0	 - Plot 0
0	2.30E-13
1	3.36E-13
2	3.71E-13
3	4.17E-13
4	2.38E-13
5	1.62E-13
6	2.12E-13
7	-7.80E-15
8	7.51E-14
9	2.63E-13
10	7.24E-14
11	-1.62E-14
12	1.81E-13
13	2.66E-13
14	3.38E-14
15	7.17E-14
16	2.84E-13
17	2.14E-13
18	5.39E-14
19	-4.60E-14
20	1.53E-13
21	6.84E-14
22	-1.43E-13
23	2.42E-13
24	1.69E-13
25	-2.96E-14
26	-7.94E-14
27	1.06E-13
28	1.05E-13
29	5.81E-13
30	1.35E-13
31	2.52E-13
32	-8.56E-14
33	2.37E-13
34	-1.09E-13
35	-2.08E-13
36	2.23E-13
37	2.91E-13
38	-1.74E-14
39	-3.84E-14
40	2.67E-13
41	2.10E-13
42	1.13E-13
43	3.56E-13
44	2.46E-13
45	1.77E-13
46	2.90E-13
47	2.65E-13
48	1.25E-13
49	7.61E-14
50	3.36E-13
51	1.46E-13
52	-1.43E-13
53	2.89E-13
54	3.67E-13
55	-1.07E-13
56	8.64E-14
57	1.58E-13
58	-7.65E-14
59	-1.04E-13
60	3.06E-13
61	3.66E-14
62	-3.31E-14
63	3.41E-13
64	1.06E-13
65	-1.66E-13
66	2.73E-13
67	2.14E-13
68	-8.47E-14
69	1.40E-13
70	2.24E-13
71	-1.60E-14
72	-4.10E-14
73	1.96E-13
74	8.69E-14
75	-1.52E-13
76	9.74E-14
77	3.62E-13
78	3.01E-13
79	-2.08E-13
80	2.26E-13
81	2.99E-13
82	-1.70E-13
83	1.62E-13
84	4.25E-13
85	-1.82E-13
86	9.31E-14
87	3.84E-13
88	9.60E-14
89	-7.85E-14
90	5.62E-13
91	-2.24E-14
92	-5.20E-14
93	3.52E-13
94	2.86E-13
95	-5.97E-14
96	3.12E-13
97	5.94E-13
98	1.56E-13
99	2.43E-13
100	8.63E-13
101	7.21E-13
102	6.84E-13
103	1.44E-12
104	1.60E-12
105	1.72E-12
106	1.48E-12
107	1.35E-12
108	1.42E-12
109	1.76E-12
110	1.73E-12
111	1.59E-12
112	1.04E-12
113	1.01E-12
114	1.13E-12
115	8.28E-13
116	3.30E-13
117	6.53E-13
118	4.99E-13
119	1.65E-13
120	2.25E-13
121	4.20E-13
122	1.51E-13
123	3.97E-14
124	2.80E-13
125	9.72E-14
126	-7.53E-14
127	3.66E-13
128	3.48E-13
129	-1.88E-13
130	1.20E-13
131	4.15E-13
132	-5.46E-14
133	-2.49E-14
134	4.37E-13
135	4.68E-14
136	-1.28E-13
137	3.73E-13
138	1.15E-13
139	-9.48E-14
140	4.03E-13
141	4.78E-13
142	2.73E-13
143	3.12E-13
144	5.63E-13
145	4.78E-13
146	4.90E-13
147	3.02E-13
148	3.82E-13
149	5.24E-13
150	4.95E-13
151	3.24E-13
152	4.85E-13
153	6.09E-13
154	6.51E-13
155	5.93E-13
156	4.46E-13
157	6.26E-13
158	7.29E-13
159	8.11E-13
160	1.14E-12
161	1.46E-12
162	2.15E-12
163	2.64E-12
164	3.11E-12
165	4.22E-12
166	4.58E-12
167	5.20E-12
168	5.65E-12
169	5.48E-12
170	5.50E-12
171	5.02E-12
172	5.19E-12
173	5.18E-12
174	4.45E-12
175	4.41E-12
176	3.73E-12
177	3.26E-12
178	2.93E-12
179	2.21E-12
180	1.93E-12
181	1.75E-12
182	1.64E-12
183	1.23E-12
184	9.40E-13
185	4.89E-13
186	5.80E-13
187	6.18E-13
188	4.23E-13
189	3.02E-13
190	4.88E-13
191	4.24E-13
192	2.94E-13
193	1.88E-13
194	4.13E-13
195	1.90E-13
196	1.69E-13
197	1.62E-13
198	3.33E-13
199	1.69E-13
200	1.65E-13
201	1.53E-13
202	6.96E-13
203	6.94E-13
204	5.92E-13
205	6.13E-13
206	7.64E-13
207	6.53E-13
208	6.63E-13
209	6.29E-13
210	7.09E-13
211	7.71E-13
212	6.79E-13
213	7.13E-13
214	1.02E-12
215	1.00E-12
216	6.61E-13
217	9.35E-13
218	1.21E-12
219	1.78E-12
220	2.21E-12
221	2.68E-12
222	4.42E-12
223	5.65E-12
224	6.92E-12
225	8.91E-12
226	9.80E-12
227	1.14E-11
228	1.27E-11
229	1.33E-11
230	1.43E-11
231	1.33E-11
232	1.31E-11
233	1.26E-11
234	1.18E-11
235	1.12E-11
236	1.02E-11
237	8.62E-12
238	7.80E-12
239	6.39E-12
240	5.19E-12
241	4.36E-12
242	3.20E-12
243	2.60E-12
244	2.13E-12
245	1.77E-12
246	1.50E-12
247	1.23E-12
248	1.12E-12
249	8.63E-13
250	8.09E-13
251	7.74E-13
252	6.43E-13
253	7.39E-13
254	5.20E-13
255	5.03E-13
256	6.50E-13
257	4.10E-13
258	4.14E-13
259	5.50E-13
260	2.56E-13
261	3.93E-13
262	3.64E-13
263	3.59E-13
264	6.17E-13
265	8.87E-13
266	8.04E-13
267	6.53E-13
268	6.14E-13
269	8.74E-13
270	9.61E-13
271	8.13E-13
272	9.11E-13
273	1.10E-12
274	1.08E-12
275	1.17E-12
276	1.13E-12
277	1.03E-12
278	1.48E-12
279	1.94E-12
280	2.40E-12
281	4.67E-12
282	6.08E-12
283	7.84E-12
284	1.13E-11
285	1.30E-11
286	1.53E-11
287	1.75E-11
288	1.83E-11
289	1.99E-11
290	2.06E-11
291	2.09E-11
292	2.12E-11
293	2.10E-11
294	2.09E-11
295	2.07E-11
296	2.02E-11
297	1.98E-11
298	1.88E-11
299	1.68E-11
300	1.53E-11
301	1.28E-11
302	1.02E-11
303	8.41E-12
304	5.98E-12
305	4.48E-12
306	3.70E-12
307	2.61E-12
308	1.98E-12
309	1.61E-12
310	1.30E-12
311	1.06E-12
312	1.07E-12
313	9.36E-13
314	1.08E-12
315	1.05E-12
316	8.25E-13
317	5.27E-13
318	7.15E-13
319	8.84E-13
320	6.87E-13
321	5.22E-13
322	8.12E-13
323	7.11E-13
324	3.55E-13
325	4.22E-13
326	5.89E-13
327	5.16E-13
328	3.34E-13
329	4.75E-13
330	3.15E-13
331	1.05E-12
332	6.23E-13
333	5.46E-13
334	4.95E-13
335	8.05E-13
336	7.20E-13
337	7.76E-13
338	8.87E-13
339	8.97E-13
340	1.07E-12
341	1.42E-12
342	2.13E-12
343	3.77E-12
344	5.19E-12
345	7.59E-12
346	9.71E-12
347	1.10E-11
348	1.24E-11
349	1.32E-11
350	1.36E-11
351	1.38E-11
352	1.37E-11
353	1.35E-11
354	1.28E-11
355	1.22E-11
356	1.27E-11
357	1.43E-11
358	1.55E-11
359	1.66E-11
360	1.74E-11
361	1.85E-11
362	1.90E-11
363	1.87E-11
364	1.73E-11
365	1.63E-11
366	1.38E-11
367	1.15E-11
368	9.83E-12
369	6.55E-12
370	5.12E-12
371	3.77E-12
372	1.87E-12
373	1.54E-12
374	1.14E-12
375	9.73E-13
376	8.44E-13
377	5.98E-13
378	6.49E-13
379	6.64E-13
380	3.98E-13
381	4.67E-13
382	6.27E-13
383	4.45E-13
384	4.99E-13
385	4.42E-13
386	3.88E-13
387	4.35E-13
388	4.04E-13
389	4.29E-13
390	4.02E-13
391	4.91E-13
392	5.10E-13
393	3.18E-13
394	4.97E-13
395	4.05E-13
396	3.10E-13
397	4.95E-13
398	4.75E-13
399	3.12E-13
400	3.23E-13
401	3.87E-13
402	2.39E-13
403	-6.45E-13
404	-6.26E-13
405	-7.67E-13
406	-8.08E-13
407	-5.78E-13
408	-6.27E-13
409	-5.56E-13
410	-5.61E-13
411	-5.98E-13
412	-3.50E-13
413	-4.81E-13
414	-2.69E-13
415	3.52E-14
416	1.14E-13
417	6.41E-13
418	1.08E-12
419	1.55E-12
420	2.13E-12
421	1.77E-12
422	1.46E-12
423	-2.97E-13
424	-1.29E-12
425	-2.86E-12
426	-5.45E-12
427	-6.61E-12
428	-9.69E-12
429	-1.27E-11
430	-1.48E-11
431	-1.86E-11
432	-1.66E-11
433	-1.65E-11
434	-1.52E-11
435	-1.24E-11
436	-1.05E-11
437	-5.99E-12
438	-1.19E-12
439	1.25E-12
440	4.02E-12
441	6.41E-12
442	7.25E-12
443	7.57E-12
444	6.00E-12
445	5.08E-12
446	3.37E-12
447	1.84E-12
448	1.08E-12
449	4.01E-14
450	-3.05E-13
451	-4.13E-13
452	-4.45E-13
453	-4.60E-13
454	-3.65E-13
455	-3.70E-13
456	-3.92E-13
457	-3.86E-13
458	-2.82E-13
459	-9.93E-14
460	-1.80E-13
461	-4.81E-14
462	-2.03E-14
463	-1.57E-14
464	-9.89E-14
465	-1.50E-12
466	-1.63E-12
467	-1.60E-12
468	-1.65E-12
469	-1.64E-12
470	-1.60E-12
471	-1.52E-12
472	-1.71E-12
473	-1.71E-12
474	-1.87E-12
475	-1.83E-12
476	-1.86E-12
477	-1.86E-12
478	-1.74E-12
479	-1.75E-12
480	-1.81E-12
481	-1.90E-12
482	-2.62E-12
483	-4.10E-12
484	-5.62E-12
485	-8.29E-12
486	-1.18E-11
487	-1.44E-11
488	-1.88E-11
489	-2.43E-11
490	-2.84E-11
491	-3.50E-11
492	-4.14E-11
493	-4.52E-11
494	-5.02E-11
495	-5.07E-11
496	-5.04E-11
497	-4.94E-11
498	-4.59E-11
499	-4.28E-11
500	-3.65E-11
501	-2.87E-11
502	-2.42E-11
503	-1.77E-11
504	-1.20E-11
505	-8.77E-12
506	-4.46E-12
507	-2.92E-12
508	-2.31E-12
509	-1.27E-12
510	-1.16E-12
511	-1.11E-12
512	-1.39E-12
513	-1.39E-12
514	-1.44E-12
515	-1.53E-12
516	-1.59E-12
517	-1.54E-12
518	-1.31E-12
519	-1.08E-12
520	-1.09E-12
521	-1.13E-12
522	-9.84E-13
523	-6.13E-13
524	-4.75E-13
525	-6.48E-13
526	-5.84E-13
527	-6.49E-13
528	-5.66E-13
529	-5.00E-13
530	-6.74E-13
531	-5.93E-13
532	-4.02E-13
533	-6.60E-13
534	-8.88E-13
535	-5.65E-13
536	-3.47E-13
537	-4.80E-13
538	-8.00E-13
539	-5.16E-13
540	-3.86E-13
541	-7.29E-13
542	-1.74E-12
543	-1.83E-12
544	-1.92E-12
545	-1.88E-12
546	-1.72E-12
547	-1.96E-12
548	-1.96E-12
549	-1.96E-12
550	-2.42E-12
551	-2.53E-12
552	-2.73E-12
553	-2.84E-12
554	-2.92E-12
555	-2.92E-12
556	-3.50E-12
557	-4.40E-12
558	-5.13E-12
559	-8.41E-12
560	-1.08E-11
561	-1.35E-11
562	-2.02E-11
563	-2.41E-11
564	-2.86E-11
565	-3.77E-11
566	-4.21E-11
567	-4.79E-11
568	-5.60E-11
569	-5.87E-11
570	-6.25E-11
571	-6.36E-11
572	-6.32E-11
573	-6.11E-11
574	-5.62E-11
575	-5.30E-11
576	-4.67E-11
577	-4.00E-11
578	-3.54E-11
579	-2.86E-11
580	-2.18E-11
581	-1.76E-11
582	-1.20E-11
583	-8.46E-12
584	-6.43E-12
585	-4.46E-12
586	-3.30E-12
587	-2.71E-12
588	-2.23E-12
589	-1.98E-12
590	-1.93E-12
591	-2.02E-12
592	-1.99E-12
593	-1.81E-12
594	-1.62E-12
595	-1.47E-12
596	-1.35E-12
597	-1.35E-12
598	-1.20E-12
599	-1.18E-12
600	-7.75E-13
601	-8.54E-13
602	-1.03E-12
603	-8.55E-13
604	-8.19E-13
605	-1.11E-12
606	-1.10E-12
607	-6.92E-13
608	-9.62E-13
609	-1.13E-12
610	-1.22E-12
611	-1.26E-12
612	-1.31E-12
613	-1.27E-12
614	-1.02E-12
615	-1.24E-12
616	-8.28E-13
617	-1.45E-12
618	-1.16E-12
619	-8.03E-13
620	-1.14E-12
621	-1.36E-12
622	-1.57E-12
623	-1.07E-12
624	-2.10E-12
625	-3.17E-12
626	-4.91E-12
627	-6.09E-12
628	-8.28E-12
629	-1.12E-11
630	-1.36E-11
631	-1.78E-11
632	-2.29E-11
633	-2.64E-11
634	-3.20E-11
635	-3.71E-11
636	-4.01E-11
637	-4.38E-11
638	-4.58E-11
639	-4.75E-11
640	-4.84E-11
641	-4.76E-11
642	-4.66E-11
643	-4.10E-11
644	-3.77E-11
645	-3.49E-11
646	-2.81E-11
647	-2.44E-11
648	-2.08E-11
649	-1.47E-11
650	-1.22E-11
651	-9.76E-12
652	-5.79E-12
653	-4.79E-12
654	-3.57E-12
655	-2.53E-12
656	-2.13E-12
657	-1.82E-12
658	-1.66E-12
659	-1.67E-12
660	-1.74E-12
661	-1.55E-12
662	-1.44E-12
663	-1.24E-12
664	-1.32E-12
665	-1.16E-12
666	-1.37E-12
667	-1.09E-12
668	-7.27E-13
669	-9.10E-13
670	-1.04E-12
671	-9.91E-13
672	-8.80E-13
673	-1.46E-13
674	3.75E-13
675	2.64E-13
676	3.16E-13
677	3.45E-13
678	1.21E-12
679	1.98E-12
680	4.28E-12
681	4.91E-12
682	5.66E-12
683	5.89E-12
684	6.15E-12
685	5.85E-12
686	5.40E-12
687	4.76E-12
688	2.71E-12
689	1.16E-12
690	-3.32E-13
691	-4.08E-12
692	-5.99E-12
693	-7.89E-12
694	-1.13E-11
695	-1.28E-11
696	-1.46E-11
697	-1.77E-11
698	-1.90E-11
699	-2.03E-11
700	-2.24E-11
701	-2.25E-11
702	-2.27E-11
703	-2.36E-11
704	-2.32E-11
705	-2.19E-11
706	-1.92E-11
707	-1.73E-11
708	-1.45E-11
709	-1.22E-11
710	-1.07E-11
711	-8.13E-12
712	-6.48E-12
713	-5.64E-12
714	-4.22E-12
715	-2.99E-12
716	-2.39E-12
717	-1.61E-12
718	-1.43E-12
719	-1.21E-12
720	-1.04E-12
721	-9.89E-13
722	-1.01E-12
723	-9.53E-13
724	-9.46E-13
725	-7.71E-13
726	-8.65E-13
727	-7.85E-13
728	-8.29E-13
729	-7.56E-13
730	-6.09E-13
731	-5.99E-13
732	-6.76E-13
733	-6.43E-13
734	-6.23E-13
735	-5.20E-13
736	-6.83E-13
737	-6.28E-13
738	-5.66E-13
739	-5.98E-13
740	-5.86E-13
741	-5.52E-13
742	6.34E-12
743	6.47E-12
744	6.35E-12
745	6.21E-12
746	6.82E-12
747	9.82E-12
748	1.08E-11
749	1.16E-11
750	1.18E-11
751	1.19E-11
752	1.20E-11
753	1.20E-11
754	1.16E-11
755	1.15E-11
756	1.03E-11
757	9.19E-12
758	7.99E-12
759	3.54E-12
760	7.05E-13
761	-2.04E-12
762	-6.44E-12
763	-7.33E-12
764	-8.35E-12
765	-9.46E-12
766	-9.66E-12
767	-9.86E-12
768	-9.82E-12
769	-9.61E-12
770	-9.02E-12
771	-8.92E-12
772	-8.56E-12
773	-7.38E-12
774	-6.13E-12
775	-5.39E-12
776	-4.35E-12
777	-3.80E-12
778	-3.31E-12
779	-2.60E-12
780	-2.12E-12
781	-1.87E-12
782	-1.52E-12
783	-1.10E-12
784	-1.08E-12
785	-5.88E-13
786	-7.00E-13
787	-5.85E-13
788	-2.20E-13
789	-5.56E-13
790	-4.74E-13
791	-8.67E-14
792	-3.89E-13
793	-6.83E-13
794	-2.04E-13
795	-2.99E-13
796	-6.83E-13
797	-5.59E-14
798	-2.69E-13
799	-4.49E-13
