Data: mercoledì 20 maggio 2020	Ora: 13:30
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 R66_LR_Acc_e2e	
pass energy/rall 1: 0.00	pass energy/rall 2: 20.00	
******************************************************
Scansione:    X manip
Min (eV): 570.20	Max (eV): 589.00	Step (eV): 0.20	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 12.00
polar angle (deg): 210.00	X axis (mm): 589.00
*******************  R66 parameters ********************
Step in ch_x_eV: 25	Ch x eV @ Ep=1eV: 5236
binned channels: 14	same region acquisitions: 17
******************************************************
Acq. time (s):  1.00	Number of scans:  1	Total acq. time (s):  1.00
******************************************************
570.200000	523.000000
570.400000	598.000000
570.600000	666.000000
570.800000	709.000000
571.000000	803.000000
571.200000	937.000000
571.400000	898.000000
571.600000	971.000000
571.800000	1007.000000
572.000000	1011.000000
572.200000	1001.000000
572.400000	1004.000000
572.600000	969.000000
572.800000	895.000000
573.000000	792.000000
573.200000	656.000000
573.400000	560.000000
573.600000	478.000000
573.800000	466.000000
574.000000	444.000000
574.200000	334.000000
574.400000	348.000000
574.600000	389.000000
574.800000	371.000000
575.000000	366.000000
575.200000	356.000000
575.400000	330.000000
575.600000	338.000000
575.800000	344.000000
576.000000	408.000000
576.200000	380.000000
576.400000	376.000000
576.600000	412.000000
576.800000	403.000000
577.000000	394.000000
577.200000	378.000000
577.400000	392.000000
577.600000	382.000000
577.800000	363.000000
578.000000	359.000000
578.200000	364.000000
578.400000	313.000000
578.600000	349.000000
578.800000	341.000000
579.000000	347.000000
579.200000	336.000000
579.400000	312.000000
579.600000	386.000000
579.800000	318.000000
580.000000	344.000000
580.200000	289.000000
580.400000	305.000000
580.600000	243.000000
580.800000	267.000000
581.000000	231.000000
581.200000	199.000000
581.400000	194.000000
581.600000	203.000000
581.800000	178.000000
582.000000	186.000000
582.200000	261.000000
582.400000	251.000000
582.600000	322.000000
582.800000	373.000000
583.000000	461.000000
583.200000	511.000000
583.400000	656.000000
583.600000	795.000000
583.800000	895.000000
584.000000	959.000000
584.200000	1111.000000
584.400000	1217.000000
584.600000	1283.000000
584.800000	1214.000000
585.000000	1164.000000
585.200000	1102.000000
585.400000	964.000000
585.600000	851.000000
585.800000	792.000000
586.000000	654.000000
586.200000	575.000000
586.400000	563.000000
586.600000	487.000000
586.800000	480.000000
587.000000	475.000000
587.200000	394.000000
587.400000	402.000000
587.600000	350.000000
587.800000	322.000000
588.000000	274.000000
588.200000	266.000000
588.400000	280.000000
588.600000	319.000000
588.800000	403.000000
589.000000	526.000000
