Data: venerdì 15 maggio 2020	Ora: 15:57
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 ROUTE66_HR_XPS	
pass energy/rall 1: 0.00	pass energy/rall 2: 40.00	
******************************************************
Scansione:    angolo polare
Min (eV): 250.00	Max (eV): 343.00	Step (eV): 0.25	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 1198.70
polar angle (deg): 343.00	X axis (mm): 580.50
*******************  R66 parameters ********************
Step in ch_x_eV: 10	Ch x eV @ Ep=1eV: 5236
binned channels: 14	same region acquisitions: 41
******************************************************
Acq. time (s):  1.00	Number of scans:  1	Total acq. time (s):  1.00
******************************************************
250.000000	14.000000
250.250000	16.000000
250.500000	20.000000
250.750000	22.000000
251.000000	29.000000
251.250000	22.000000
251.500000	25.000000
251.750000	24.000000
252.000000	30.000000
252.250000	33.000000
252.500000	36.000000
252.750000	46.000000
253.000000	50.000000
253.250000	42.000000
253.500000	44.000000
253.750000	41.000000
254.000000	46.000000
254.250000	60.000000
254.500000	60.000000
254.750000	69.000000
255.000000	68.000000
255.250000	55.000000
255.500000	73.000000
255.750000	75.000000
256.000000	85.000000
256.250000	83.000000
256.500000	90.000000
256.750000	98.000000
257.000000	91.000000
257.250000	111.000000
257.500000	126.000000
257.750000	140.000000
258.000000	123.000000
258.250000	138.000000
258.500000	156.000000
258.750000	161.000000
259.000000	178.000000
259.250000	169.000000
259.500000	196.000000
259.750000	194.000000
260.000000	181.000000
260.250000	180.000000
260.500000	225.000000
260.750000	221.000000
261.000000	227.000000
261.250000	235.000000
261.500000	244.000000
261.750000	232.000000
262.000000	264.000000
262.250000	256.000000
262.500000	305.000000
262.750000	309.000000
263.000000	334.000000
263.250000	297.000000
263.500000	371.000000
263.750000	335.000000
264.000000	392.000000
264.250000	408.000000
264.500000	420.000000
264.750000	501.000000
265.000000	485.000000
265.250000	471.000000
265.500000	505.000000
265.750000	517.000000
266.000000	540.000000
266.250000	600.000000
266.500000	574.000000
266.750000	608.000000
267.000000	635.000000
267.250000	623.000000
267.500000	624.000000
267.750000	647.000000
268.000000	693.000000
268.250000	641.000000
268.500000	654.000000
268.750000	685.000000
269.000000	682.000000
269.250000	723.000000
269.500000	715.000000
269.750000	635.000000
270.000000	654.000000
270.250000	681.000000
270.500000	661.000000
270.750000	646.000000
271.000000	621.000000
271.250000	630.000000
271.500000	606.000000
271.750000	622.000000
272.000000	544.000000
272.250000	580.000000
272.500000	529.000000
272.750000	526.000000
273.000000	495.000000
273.250000	474.000000
273.500000	473.000000
273.750000	443.000000
274.000000	480.000000
274.250000	443.000000
274.500000	465.000000
274.750000	396.000000
275.000000	411.000000
275.250000	388.000000
275.500000	432.000000
275.750000	374.000000
276.000000	335.000000
276.250000	335.000000
276.500000	295.000000
276.750000	302.000000
277.000000	270.000000
277.250000	309.000000
277.500000	309.000000
277.750000	282.000000
278.000000	237.000000
278.250000	221.000000
278.500000	233.000000
278.750000	230.000000
279.000000	239.000000
279.250000	214.000000
279.500000	226.000000
279.750000	197.000000
280.000000	189.000000
280.250000	174.000000
280.500000	184.000000
280.750000	173.000000
281.000000	177.000000
281.250000	168.000000
281.500000	166.000000
281.750000	136.000000
282.000000	157.000000
282.250000	149.000000
282.500000	143.000000
282.750000	129.000000
283.000000	114.000000
283.250000	127.000000
283.500000	120.000000
283.750000	110.000000
284.000000	122.000000
284.250000	103.000000
284.500000	98.000000
284.750000	104.000000
285.000000	85.000000
285.250000	96.000000
285.500000	79.000000
285.750000	88.000000
286.000000	73.000000
286.250000	71.000000
286.500000	88.000000
286.750000	53.000000
287.000000	71.000000
287.250000	61.000000
287.500000	59.000000
287.750000	70.000000
288.000000	64.000000
288.250000	48.000000
288.500000	43.000000
288.750000	52.000000
289.000000	52.000000
289.250000	48.000000
289.500000	63.000000
289.750000	44.000000
290.000000	50.000000
290.250000	44.000000
290.500000	38.000000
290.750000	44.000000
291.000000	37.000000
291.250000	41.000000
291.500000	37.000000
291.750000	31.000000
292.000000	40.000000
292.250000	35.000000
292.500000	38.000000
292.750000	26.000000
293.000000	37.000000
293.250000	31.000000
293.500000	26.000000
293.750000	27.000000
294.000000	23.000000
294.250000	29.000000
294.500000	29.000000
294.750000	25.000000
295.000000	34.000000
295.250000	28.000000
295.500000	30.000000
295.750000	24.000000
296.000000	23.000000
296.250000	26.000000
296.500000	19.000000
