Data: venerdì 15 maggio 2020	Ora: 11:27
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 ROUTE66_HR_XPS	
pass energy/rall 1: 0.00	pass energy/rall 2: 40.00	
******************************************************
Scansione:    angolo polare
Min (eV): 250.00	Max (eV): 343.00	Step (eV): 0.25	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 1198.70
polar angle (deg): 320.75	X axis (mm): 580.50
*******************  R66 parameters ********************
Step in ch_x_eV: 10	Ch x eV @ Ep=1eV: 5236
binned channels: 14	same region acquisitions: 41
******************************************************
Acq. time (s):  1.00	Number of scans:  1	Total acq. time (s):  1.00
******************************************************
250.000000	51.000000
250.250000	58.000000
250.500000	56.000000
250.750000	64.000000
251.000000	59.000000
251.250000	49.000000
251.500000	74.000000
251.750000	83.000000
252.000000	86.000000
252.250000	61.000000
252.500000	92.000000
252.750000	90.000000
253.000000	92.000000
253.250000	89.000000
253.500000	96.000000
253.750000	87.000000
254.000000	119.000000
254.250000	113.000000
254.500000	129.000000
254.750000	108.000000
255.000000	122.000000
255.250000	134.000000
255.500000	135.000000
255.750000	152.000000
256.000000	179.000000
256.250000	192.000000
256.500000	189.000000
256.750000	209.000000
257.000000	209.000000
257.250000	218.000000
257.500000	218.000000
257.750000	240.000000
258.000000	283.000000
258.250000	280.000000
258.500000	301.000000
258.750000	275.000000
259.000000	330.000000
259.250000	317.000000
259.500000	345.000000
259.750000	350.000000
260.000000	362.000000
260.250000	383.000000
260.500000	351.000000
260.750000	407.000000
261.000000	418.000000
261.250000	414.000000
261.500000	461.000000
261.750000	457.000000
262.000000	470.000000
262.250000	466.000000
262.500000	509.000000
262.750000	541.000000
263.000000	533.000000
263.250000	571.000000
263.500000	597.000000
263.750000	611.000000
264.000000	614.000000
264.250000	623.000000
264.500000	623.000000
264.750000	671.000000
265.000000	600.000000
265.250000	673.000000
265.500000	612.000000
265.750000	628.000000
266.000000	655.000000
266.250000	696.000000
266.500000	638.000000
266.750000	653.000000
267.000000	665.000000
267.250000	684.000000
267.500000	668.000000
267.750000	632.000000
268.000000	633.000000
268.250000	655.000000
268.500000	680.000000
268.750000	656.000000
269.000000	629.000000
269.250000	612.000000
269.500000	593.000000
269.750000	599.000000
270.000000	592.000000
270.250000	576.000000
270.500000	560.000000
270.750000	565.000000
271.000000	540.000000
271.250000	499.000000
271.500000	474.000000
271.750000	464.000000
272.000000	463.000000
272.250000	478.000000
272.500000	439.000000
272.750000	469.000000
273.000000	428.000000
273.250000	435.000000
273.500000	430.000000
273.750000	374.000000
274.000000	444.000000
274.250000	353.000000
274.500000	387.000000
274.750000	385.000000
275.000000	349.000000
275.250000	353.000000
275.500000	322.000000
275.750000	316.000000
276.000000	279.000000
276.250000	322.000000
276.500000	287.000000
276.750000	318.000000
277.000000	260.000000
277.250000	269.000000
277.500000	268.000000
277.750000	251.000000
278.000000	258.000000
278.250000	245.000000
278.500000	236.000000
278.750000	233.000000
279.000000	214.000000
279.250000	215.000000
279.500000	220.000000
279.750000	204.000000
280.000000	172.000000
280.250000	183.000000
280.500000	178.000000
280.750000	182.000000
281.000000	194.000000
281.250000	169.000000
281.500000	168.000000
281.750000	148.000000
282.000000	164.000000
282.250000	147.000000
282.500000	142.000000
282.750000	143.000000
283.000000	129.000000
283.250000	134.000000
283.500000	136.000000
283.750000	120.000000
284.000000	122.000000
284.250000	125.000000
284.500000	89.000000
284.750000	123.000000
285.000000	102.000000
285.250000	112.000000
285.500000	123.000000
285.750000	89.000000
286.000000	116.000000
286.250000	103.000000
286.500000	92.000000
286.750000	74.000000
287.000000	75.000000
287.250000	103.000000
287.500000	69.000000
287.750000	92.000000
288.000000	92.000000
288.250000	66.000000
288.500000	67.000000
288.750000	63.000000
289.000000	69.000000
289.250000	71.000000
289.500000	67.000000
289.750000	51.000000
290.000000	60.000000
290.250000	66.000000
290.500000	60.000000
290.750000	57.000000
291.000000	49.000000
291.250000	58.000000
291.500000	60.000000
291.750000	50.000000
292.000000	63.000000
292.250000	56.000000
292.500000	42.000000
292.750000	48.000000
293.000000	45.000000
293.250000	31.000000
293.500000	44.000000
293.750000	32.000000
294.000000	40.000000
294.250000	39.000000
294.500000	42.000000
294.750000	36.000000
295.000000	26.000000
295.250000	32.000000
295.500000	29.000000
295.750000	25.000000
296.000000	41.000000
296.250000	36.000000
296.500000	37.000000
