Data: mercoledì 13 maggio 2020	Ora: 12:18
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 ROUTE66_HR_XPS	
pass energy/rall 1: 0.00	pass energy/rall 2: 40.00	
******************************************************
Scansione:    energia analizzata
Min (eV): 1376.00	Max (eV): 1384.00	Step (eV): 0.10	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 1376.92
polar angle (deg): 287.00	X axis (mm): 581.70
*******************  R66 parameters ********************
Step in ch_x_eV: 10	Ch x eV @ Ep=1eV: 5236
binned channels: 14	same region acquisitions: 41
******************************************************
Acq. time (s):  0.50	Number of scans:  6	Total acq. time (s):  3.00
******************************************************
1374.521772	0.000000
1374.628724	0.014286
1374.735676	0.007143
1374.842628	0.000000
1374.949580	0.008163
1375.056532	0.003571
1375.163484	0.012063
1375.270435	0.005455
1375.377387	0.009158
1375.484339	0.008477
1375.591291	0.001905
1375.698243	0.010294
1375.805195	0.006536
1375.912147	0.004436
1376.019099	0.002789
1376.126050	0.003783
1376.233002	0.003675
1376.339954	0.004619
1376.446906	0.007611
1376.553858	0.003099
1376.660810	0.004893
1376.767762	0.002826
1376.874714	0.008037
1376.981665	0.001681
1377.088617	0.009172
1377.195569	0.001566
1377.302521	0.005324
1377.409473	0.006576
1377.516425	0.005697
1377.623377	0.006411
1377.730328	0.002822
1377.837280	0.006394
1377.944232	0.004965
1378.051184	0.007143
1378.158136	0.005000
1378.265088	0.006394
1378.372040	0.004268
1378.478992	0.004268
1378.585943	0.004268
1378.692895	0.002857
1378.799847	0.007125
1378.906799	0.004268
1379.013751	0.004268
1379.120703	0.007143
1379.227655	0.005714
1379.334607	0.009268
1379.441558	0.003571
1379.548510	0.003554
1379.655462	0.006411
1379.762414	0.007857
1379.869366	0.004251
1379.976318	0.005000
1380.083270	0.006411
1380.190222	0.004268
1380.297173	0.007857
1380.404125	0.002143
1380.511077	0.004286
1380.618029	0.008554
1380.724981	0.003571
1380.831933	0.004286
1380.938885	0.005000
1381.045837	0.006411
1381.152788	0.004286
1381.259740	0.002840
1381.366692	0.005714
1381.473644	0.006411
1381.580596	0.007143
1381.687548	0.004965
1381.794500	0.005714
1381.901451	0.004983
1382.008403	0.005000
1382.115355	0.004286
1382.222307	0.005714
1382.329259	0.005000
1382.436211	0.005000
1382.543163	0.005000
1382.650115	0.006671
1382.757066	0.004634
1382.864018	0.002381
1382.970970	0.009988
1383.077922	0.004410
1383.184874	0.003600
1383.291826	0.003779
1383.398778	0.004961
1383.505730	0.005178
1383.612681	0.004487
1383.719633	0.003524
1383.826585	0.007402
1383.933537	0.003958
1384.040489	0.004286
1384.147441	0.001587
1384.254393	0.000000
1384.361345	0.005490
1384.468296	0.005850
1384.575248	0.000000
1384.682200	0.000000
1384.789152	0.008052
1384.896104	0.000000
1385.003056	0.003571
1385.110008	0.009524
1385.216960	0.005714
1385.323911	0.000000
1385.430863	0.014286
1385.518717	0.000000
