Data: giovedì 7 maggio 2020	Ora: 15:00
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 ROUTE66_HR_XPS	
pass energy/rall 1: 0.00	pass energy/rall 2: 40.00	
******************************************************
Scansione:    angolo polare
Min (eV): 256.00	Max (eV): 343.00	Step (eV): 0.25	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 1198.70
polar angle (deg): 314.00	X axis (mm): 580.50
*******************  R66 parameters ********************
Step in ch_x_eV: 10	Ch x eV @ Ep=1eV: 5236
binned channels: 11	same region acquisitions: 41
******************************************************
Acq. time (s):  3.00	Number of scans:  1	Total acq. time (s):  3.00
******************************************************
256.000000	0.000000
256.250000	0.000000
256.500000	2.000000
256.750000	2.000000
257.000000	3.000000
257.250000	1.000000
257.500000	0.000000
257.750000	2.000000
258.000000	2.000000
258.250000	0.000000
258.500000	1.000000
258.750000	2.000000
259.000000	1.000000
259.250000	4.000000
259.500000	1.000000
259.750000	2.000000
260.000000	1.000000
260.250000	4.000000
260.500000	4.000000
260.750000	8.000000
261.000000	6.000000
261.250000	15.000000
261.500000	20.000000
261.750000	19.000000
262.000000	23.000000
262.250000	22.000000
262.500000	36.000000
262.750000	40.000000
263.000000	44.000000
263.250000	62.000000
263.500000	50.000000
263.750000	66.000000
264.000000	74.000000
264.250000	70.000000
264.500000	96.000000
264.750000	101.000000
265.000000	93.000000
265.250000	132.000000
265.500000	141.000000
265.750000	156.000000
266.000000	180.000000
266.250000	193.000000
266.500000	196.000000
266.750000	234.000000
267.000000	273.000000
267.250000	309.000000
267.500000	348.000000
267.750000	400.000000
268.000000	405.000000
268.250000	475.000000
268.500000	500.000000
268.750000	525.000000
269.000000	531.000000
269.250000	631.000000
269.500000	633.000000
269.750000	700.000000
270.000000	676.000000
270.250000	682.000000
270.500000	724.000000
270.750000	720.000000
271.000000	719.000000
271.250000	682.000000
271.500000	682.000000
271.750000	664.000000
272.000000	684.000000
272.250000	606.000000
272.500000	596.000000
272.750000	504.000000
273.000000	522.000000
273.250000	469.000000
273.500000	458.000000
273.750000	409.000000
274.000000	377.000000
274.250000	342.000000
274.500000	342.000000
274.750000	273.000000
275.000000	288.000000
275.250000	262.000000
275.500000	243.000000
275.750000	227.000000
276.000000	215.000000
276.250000	178.000000
276.500000	161.000000
276.750000	152.000000
277.000000	148.000000
277.250000	143.000000
277.500000	119.000000
277.750000	114.000000
278.000000	109.000000
278.250000	103.000000
278.500000	84.000000
278.750000	82.000000
279.000000	66.000000
279.250000	60.000000
279.500000	48.000000
279.750000	46.000000
280.000000	50.000000
280.250000	32.000000
280.500000	43.000000
280.750000	33.000000
281.000000	37.000000
281.250000	31.000000
281.500000	27.000000
281.750000	18.000000
282.000000	17.000000
282.250000	12.000000
282.500000	12.000000
282.750000	17.000000
283.000000	11.000000
283.250000	13.000000
283.500000	14.000000
283.750000	18.000000
284.000000	14.000000
284.250000	9.000000
284.500000	6.000000
284.750000	8.000000
285.000000	5.000000
285.250000	10.000000
285.500000	4.000000
285.750000	3.000000
286.000000	4.000000
286.250000	3.000000
286.500000	6.000000
286.750000	9.000000
287.000000	6.000000
287.250000	3.000000
287.500000	4.000000
287.750000	3.000000
288.000000	6.000000
288.250000	3.000000
288.500000	10.000000
288.750000	7.000000
289.000000	2.000000
289.250000	4.000000
289.500000	0.000000
289.750000	3.000000
290.000000	2.000000
290.250000	1.000000
290.500000	3.000000
290.750000	1.000000
291.000000	2.000000
291.250000	1.000000
291.500000	3.000000
291.750000	0.000000
292.000000	1.000000
292.250000	1.000000
292.500000	1.000000
292.750000	3.000000
293.000000	1.000000
293.250000	2.000000
293.500000	2.000000
293.750000	3.000000
294.000000	0.000000
294.250000	2.000000
294.500000	0.000000
294.750000	1.000000
295.000000	2.000000
295.250000	1.000000
295.500000	1.000000
295.750000	1.000000
296.000000	2.000000
296.250000	0.000000
296.500000	2.000000
296.750000	2.000000
297.000000	0.000000
297.250000	1.000000
297.500000	0.000000
297.750000	0.000000
298.000000	1.000000
298.250000	2.000000
298.500000	2.000000
298.750000	1.000000
299.000000	0.000000
299.250000	0.000000
299.500000	0.000000
299.750000	1.000000
300.000000	1.000000
300.250000	0.000000
300.500000	0.000000
300.750000	0.000000
301.000000	0.000000
301.250000	0.000000
301.500000	0.000000
301.750000	0.000000
302.000000	0.000000
302.250000	0.000000
302.500000	0.000000
302.750000	0.000000
303.000000	0.000000
303.250000	0.000000
303.500000	0.000000
303.750000	0.000000
304.000000	0.000000
304.250000	0.000000
304.500000	0.000000
304.750000	0.000000
305.000000	0.000000
305.250000	0.000000
305.500000	0.000000
305.750000	0.000000
306.000000	1.000000
306.250000	0.000000
306.500000	0.000000
306.750000	0.000000
307.000000	0.000000
307.250000	0.000000
307.500000	0.000000
307.750000	0.000000
308.000000	0.000000
308.250000	0.000000
308.500000	0.000000
308.750000	1.000000
309.000000	0.000000
309.250000	0.000000
309.500000	0.000000
309.750000	0.000000
310.000000	0.000000
310.250000	0.000000
310.500000	0.000000
310.750000	0.000000
311.000000	0.000000
311.250000	0.000000
311.500000	0.000000
311.750000	0.000000
312.000000	0.000000
312.250000	0.000000
312.500000	0.000000
312.750000	0.000000
313.000000	0.000000
313.250000	0.000000
313.500000	0.000000
313.750000	0.000000
314.000000	0.000000
