Data: mercoledì 13 maggio 2020	Ora: 10:53
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 ROUTE66_HR_XPS	
pass energy/rall 1: 0.00	pass energy/rall 2: 40.00	
******************************************************
Scansione:    energia analizzata
Min (eV): 1372.00	Max (eV): 1388.00	Step (eV): 0.10	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 1388.04
polar angle (deg): 270.00	X axis (mm): 581.70
*******************  R66 parameters ********************
Step in ch_x_eV: 10	Ch x eV @ Ep=1eV: 5236
binned channels: 14	same region acquisitions: 41
******************************************************
Acq. time (s):  0.50	Number of scans:  4	Total acq. time (s):  2.00
******************************************************
1370.521772	0.017857
1370.628724	0.000000
1370.735676	0.035714
1370.842628	0.025000
1370.949580	0.022109
1371.056532	0.017361
1371.163484	0.022222
1371.270435	0.015747
1371.377387	0.017170
1371.484339	0.021193
1371.591291	0.016518
1371.698243	0.021796
1371.805195	0.020075
1371.912147	0.020489
1372.019099	0.024065
1372.126050	0.016022
1372.233002	0.015010
1372.339954	0.020009
1372.446906	0.016178
1372.553858	0.015353
1372.660810	0.015887
1372.767762	0.017588
1372.874714	0.021210
1372.981665	0.022473
1373.088617	0.020588
1373.195569	0.025526
1373.302521	0.023674
1373.409473	0.020149
1373.516425	0.018728
1373.623377	0.024042
1373.730328	0.016921
1373.837280	0.016943
1373.944232	0.021341
1374.051184	0.018728
1374.158136	0.024956
1374.265088	0.020470
1374.372040	0.022278
1374.478992	0.019556
1374.585943	0.017857
1374.692895	0.021407
1374.799847	0.020427
1374.906799	0.016028
1375.013751	0.026655
1375.120703	0.017792
1375.227655	0.024085
1375.334607	0.021407
1375.441558	0.023171
1375.548510	0.024085
1375.655462	0.025849
1375.762414	0.019621
1375.869366	0.020470
1375.976318	0.020492
1376.083270	0.017726
1376.190222	0.016921
1376.297173	0.019621
1376.404125	0.021341
1376.511077	0.021429
1376.618029	0.018728
1376.724981	0.028484
1376.831933	0.018728
1376.938885	0.013328
1377.045837	0.025871
1377.152788	0.017770
1377.259740	0.016028
1377.366692	0.010693
1377.473644	0.024978
1377.580596	0.015113
1377.687548	0.014242
1377.794500	0.016071
1377.901451	0.022234
1378.008403	0.024020
1378.115355	0.016943
1378.222307	0.022278
1378.329259	0.024956
1378.436211	0.021429
1378.543163	0.016921
1378.650115	0.022321
1378.757066	0.024935
1378.864018	0.018728
1378.970970	0.027657
1379.077922	0.021407
1379.184874	0.017770
1379.291826	0.021407
1379.398778	0.031206
1379.505730	0.021407
1379.612681	0.023084
1379.719633	0.021385
1379.826585	0.024020
1379.933537	0.034756
1380.040489	0.027591
1380.147441	0.031990
1380.254393	0.026742
1380.361345	0.024020
1380.468296	0.022300
1380.575248	0.027635
1380.682200	0.028463
1380.789152	0.024085
1380.896104	0.023105
1381.003056	0.019599
1381.110008	0.026764
1381.216960	0.023062
1381.323911	0.030292
1381.430863	0.021276
1381.537815	0.024064
1381.644767	0.015157
1381.751719	0.024956
1381.858671	0.021407
1381.965623	0.018663
1382.072574	0.019621
1382.179526	0.023084
1382.286478	0.020449
1382.393430	0.015157
1382.500382	0.021320
1382.607334	0.025871
1382.714286	0.021429
1382.821238	0.019599
1382.928189	0.024978
1383.035141	0.018685
1383.142093	0.019556
1383.249045	0.016071
1383.355997	0.025762
1383.462949	0.016943
1383.569901	0.027526
1383.676853	0.024085
1383.783804	0.025806
1383.890756	0.017814
1383.997708	0.021407
1384.104660	0.018750
1384.211612	0.013393
1384.318564	0.021429
1384.425516	0.020449
1384.532468	0.017792
1384.639419	0.016921
1384.746371	0.015157
1384.853323	0.017814
1384.960275	0.014264
1385.067227	0.019556
1385.174179	0.019534
1385.281131	0.023214
1385.388083	0.020514
1385.495034	0.019578
1385.601986	0.024935
1385.708938	0.024064
1385.815890	0.027635
1385.922842	0.016964
1386.029794	0.019556
1386.136746	0.016050
1386.243697	0.014264
1386.350649	0.015135
1386.457601	0.025893
1386.564553	0.029650
1386.671505	0.017616
1386.778457	0.032773
1386.885409	0.021995
1386.992361	0.010384
1387.099312	0.016142
1387.206264	0.012493
1387.313216	0.021316
1387.420168	0.016098
1387.527120	0.011716
1387.634072	0.012473
1387.741024	0.025000
1387.847976	0.018569
1387.954927	0.021490
1388.061879	0.019303
1388.168831	0.022567
1388.275783	0.012138
1388.382735	0.020107
1388.489687	0.024320
1388.596639	0.037088
1388.703591	0.009470
1388.810542	0.013636
1388.917494	0.027877
1389.024446	0.027423
1389.131398	0.017007
1389.238350	0.008929
1389.345302	0.008929
1389.452254	0.000000
1389.540107	0.000000
