Data: mercoledì 20 maggio 2020	Ora: 14:46
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 R66_LR_Acc_e2e	
pass energy/rall 1: 0.00	pass energy/rall 2: 25.00	
******************************************************
Scansione:    angolo polare
Min (eV): 200.00	Max (eV): 310.00	Step (eV): 0.50	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 14.50
polar angle (deg): 310.00	X axis (mm): 577.00
*******************  R66 parameters ********************
Step in ch_x_eV: 25	Ch x eV @ Ep=1eV: 5236
binned channels: 11	same region acquisitions: 17
******************************************************
Acq. time (s):  4.00	Number of scans:  1	Total acq. time (s):  4.00
******************************************************
200.000000	194.000000
200.500000	187.000000
201.000000	201.000000
201.500000	227.000000
202.000000	218.000000
202.500000	212.000000
203.000000	225.000000
203.500000	208.000000
204.000000	228.000000
204.500000	208.000000
205.000000	229.000000
205.500000	237.000000
206.000000	238.000000
206.500000	230.000000
207.000000	233.000000
207.500000	248.000000
208.000000	255.000000
208.500000	258.000000
209.000000	276.000000
209.500000	263.000000
210.000000	260.000000
210.500000	249.000000
211.000000	280.000000
211.500000	265.000000
212.000000	279.000000
212.500000	270.000000
213.000000	278.000000
213.500000	297.000000
214.000000	300.000000
214.500000	302.000000
215.000000	306.000000
215.500000	289.000000
216.000000	279.000000
216.500000	295.000000
217.000000	310.000000
217.500000	310.000000
218.000000	304.000000
218.500000	301.000000
219.000000	305.000000
219.500000	289.000000
220.000000	308.000000
220.500000	299.000000
221.000000	307.000000
221.500000	312.000000
222.000000	314.000000
222.500000	331.000000
223.000000	333.000000
223.500000	319.000000
224.000000	333.000000
224.500000	319.000000
225.000000	326.000000
225.500000	327.000000
226.000000	334.000000
226.500000	338.000000
227.000000	351.000000
227.500000	338.000000
228.000000	329.000000
228.500000	340.000000
229.000000	323.000000
229.500000	332.000000
230.000000	354.000000
230.500000	320.000000
231.000000	351.000000
231.500000	371.000000
232.000000	336.000000
232.500000	367.000000
233.000000	353.000000
233.500000	343.000000
234.000000	331.000000
234.500000	343.000000
235.000000	358.000000
235.500000	349.000000
236.000000	335.000000
236.500000	354.000000
237.000000	320.000000
237.500000	337.000000
238.000000	379.000000
238.500000	367.000000
239.000000	338.000000
239.500000	379.000000
240.000000	366.000000
240.500000	397.000000
241.000000	357.000000
241.500000	367.000000
242.000000	389.000000
242.500000	361.000000
243.000000	389.000000
243.500000	374.000000
244.000000	375.000000
244.500000	377.000000
245.000000	389.000000
245.500000	383.000000
246.000000	374.000000
246.500000	374.000000
247.000000	371.000000
247.500000	354.000000
248.000000	393.000000
248.500000	403.000000
249.000000	379.000000
249.500000	392.000000
250.000000	386.000000
250.500000	372.000000
251.000000	394.000000
251.500000	377.000000
252.000000	385.000000
252.500000	388.000000
253.000000	387.000000
253.500000	371.000000
254.000000	375.000000
254.500000	372.000000
255.000000	380.000000
255.500000	382.000000
256.000000	398.000000
256.500000	360.000000
257.000000	398.000000
257.500000	403.000000
258.000000	389.000000
258.500000	378.000000
259.000000	393.000000
259.500000	390.000000
260.000000	391.000000
260.500000	413.000000
261.000000	412.000000
261.500000	391.000000
262.000000	395.000000
262.500000	409.000000
263.000000	412.000000
263.500000	382.000000
264.000000	398.000000
264.500000	393.000000
265.000000	413.000000
265.500000	383.000000
266.000000	411.000000
266.500000	400.000000
267.000000	431.000000
267.500000	412.000000
268.000000	414.000000
268.500000	416.000000
269.000000	434.000000
269.500000	426.000000
270.000000	420.000000
270.500000	429.000000
271.000000	437.000000
271.500000	424.000000
272.000000	440.000000
272.500000	435.000000
273.000000	440.000000
273.500000	421.000000
274.000000	422.000000
274.500000	420.000000
275.000000	452.000000
275.500000	434.000000
276.000000	437.000000
276.500000	405.000000
277.000000	415.000000
277.500000	424.000000
278.000000	431.000000
278.500000	448.000000
279.000000	435.000000
279.500000	434.000000
280.000000	459.000000
280.500000	431.000000
281.000000	438.000000
281.500000	449.000000
282.000000	423.000000
282.500000	448.000000
283.000000	432.000000
283.500000	434.000000
284.000000	415.000000
284.500000	406.000000
285.000000	439.000000
285.500000	428.000000
286.000000	411.000000
286.500000	416.000000
287.000000	409.000000
287.500000	411.000000
288.000000	408.000000
288.500000	428.000000
289.000000	392.000000
289.500000	394.000000
290.000000	377.000000
290.500000	386.000000
291.000000	384.000000
291.500000	369.000000
292.000000	400.000000
292.500000	372.000000
293.000000	365.000000
293.500000	342.000000
294.000000	346.000000
294.500000	345.000000
295.000000	333.000000
295.500000	322.000000
296.000000	297.000000
296.500000	312.000000
297.000000	315.000000
297.500000	281.000000
298.000000	274.000000
298.500000	261.000000
299.000000	271.000000
299.500000	276.000000
300.000000	253.000000
300.500000	238.000000
301.000000	223.000000
301.500000	225.000000
302.000000	220.000000
302.500000	183.000000
303.000000	170.000000
303.500000	172.000000
304.000000	164.000000
304.500000	131.000000
305.000000	127.000000
305.500000	119.000000
306.000000	99.000000
306.500000	95.000000
307.000000	81.000000
307.500000	80.000000
308.000000	68.000000
308.500000	59.000000
309.000000	53.000000
309.500000	45.000000
310.000000	45.000000
