Data: giovedì 7 maggio 2020	Ora: 13:46
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 ROUTE66_HR_XPS	
pass energy/rall 1: 0.00	pass energy/rall 2: 40.00	
******************************************************
Scansione:    angolo polare
Min (eV): 256.00	Max (eV): 343.00	Step (eV): 0.25	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 1198.70
polar angle (deg): 343.00	X axis (mm): 580.50
*******************  R66 parameters ********************
Step in ch_x_eV: 10	Ch x eV @ Ep=1eV: 5236
binned channels: 11	same region acquisitions: 41
******************************************************
Acq. time (s):  3.00	Number of scans:  1	Total acq. time (s):  3.00
******************************************************
317.500000	431.000000
317.750000	417.000000
318.000000	413.000000
318.250000	432.000000
318.500000	442.000000
318.750000	430.000000
319.000000	442.000000
319.250000	430.000000
319.500000	397.000000
319.750000	433.000000
320.000000	420.000000
320.250000	416.000000
320.500000	412.000000
320.750000	413.000000
321.000000	428.000000
321.250000	399.000000
321.500000	406.000000
321.750000	398.000000
322.000000	384.000000
322.250000	412.000000
322.500000	395.000000
322.750000	387.000000
323.000000	400.000000
323.250000	418.000000
323.500000	382.000000
323.750000	391.000000
324.000000	397.000000
324.250000	385.000000
324.500000	401.000000
324.750000	392.000000
325.000000	384.000000
325.250000	390.000000
325.500000	380.000000
325.750000	374.000000
326.000000	379.000000
326.250000	410.000000
326.500000	384.000000
326.750000	378.000000
327.000000	390.000000
327.250000	352.000000
327.500000	375.000000
327.750000	385.000000
328.000000	378.000000
328.250000	368.000000
328.500000	358.000000
328.750000	377.000000
329.000000	371.000000
329.250000	372.000000
329.500000	360.000000
329.750000	355.000000
330.000000	380.000000
330.250000	372.000000
330.500000	361.000000
330.750000	369.000000
331.000000	357.000000
331.250000	378.000000
331.500000	349.000000
331.750000	305.000000
332.000000	321.000000
332.250000	337.000000
332.500000	333.000000
332.750000	326.000000
333.000000	320.000000
333.250000	328.000000
333.500000	307.000000
333.750000	314.000000
334.000000	311.000000
334.250000	331.000000
334.500000	330.000000
334.750000	296.000000
