Data: mercoledì 10 giugno 2020	Ora: 15:06
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 ROUTE66_HR_EELS	
pass energy/rall 1: 0.00	pass energy/rall 2: 5.00	
******************************************************
Scansione:    energia analizzata
Min (eV): 75.00	Max (eV): 94.50	Step (eV): 0.05	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 94.53
polar angle (deg): 255.00	X axis (mm): 580.00
*******************  R66 parameters ********************
Step in ch_x_eV: 50	Ch x eV @ Ep=1eV: 5236
binned channels: 53	same region acquisitions: 9
******************************************************
Acq. time (s):  0.50	Number of scans:  10	Total acq. time (s):  5.00
******************************************************
74.833843	0.545283
74.884454	0.653459
74.935065	0.599686
74.985676	0.596792
75.036287	0.612830
75.086898	0.605031
75.137510	0.616712
75.188121	0.566038
75.238732	0.616667
75.289343	0.615933
75.339954	0.569340
75.390565	0.582704
75.441176	0.614675
75.491788	0.585639
75.542399	0.608648
75.593010	0.608543
75.643621	0.588732
75.694232	0.587369
75.744843	0.619130
75.795455	0.603721
75.846066	0.610954
75.896677	0.602621
75.947288	0.573690
75.997899	0.559801
76.048510	0.569706
76.099121	0.566771
76.149733	0.597537
76.200344	0.565356
76.250955	0.555241
76.301566	0.615356
76.352177	0.562107
76.402788	0.559591
76.453400	0.571960
76.504011	0.570126
76.554622	0.554979
76.605233	0.591247
76.655844	0.575629
76.706455	0.554979
76.757066	0.563574
76.807678	0.551153
76.858289	0.563522
76.908900	0.594706
76.959511	0.534486
77.010122	0.563941
77.060733	0.557180
77.111345	0.551992
77.161956	0.563208
77.212567	0.548532
77.263178	0.536950
77.313789	0.546908
77.364400	0.554403
77.415011	0.546593
77.465623	0.539361
77.516234	0.549214
77.566845	0.543291
77.617456	0.546174
77.668067	0.542034
77.718678	0.523218
77.769290	0.518291
77.819901	0.567610
77.870512	0.523899
77.921123	0.540356
77.971734	0.566090
78.022345	0.533805
78.072956	0.547746
78.123568	0.542453
78.174179	0.528197
78.224790	0.525943
78.275401	0.519549
78.326012	0.520860
78.376623	0.533019
78.427235	0.553040
78.477846	0.491247
78.528457	0.538522
78.579068	0.508124
78.629679	0.523532
78.680290	0.512893
78.730901	0.533124
78.781513	0.509748
78.832124	0.539727
78.882735	0.537107
78.933346	0.517872
78.983957	0.533910
79.034568	0.485168
79.085180	0.500210
79.135791	0.500734
79.186402	0.516614
79.237013	0.509748
79.287624	0.494654
79.338235	0.499686
79.388846	0.493606
79.439458	0.509591
79.490069	0.501048
79.540680	0.487945
79.591291	0.486006
79.641902	0.482180
79.692513	0.496017
79.743125	0.487474
79.793736	0.504507
79.844347	0.516090
79.894958	0.489885
79.945569	0.493344
79.996180	0.463574
80.046791	0.467558
80.097403	0.453407
80.148014	0.458438
80.198625	0.470335
80.249236	0.441143
80.299847	0.442453
80.350458	0.450734
80.401070	0.450629
80.451681	0.469444
80.502292	0.462945
80.552903	0.425734
80.603514	0.450839
80.654125	0.465933
80.704736	0.471803
80.755348	0.413941
80.805959	0.453040
80.856570	0.464308
80.907181	0.478092
80.957792	0.439990
81.008403	0.463365
81.059015	0.439413
81.109626	0.445702
81.160237	0.448113
81.210848	0.424843
81.261459	0.446226
81.312070	0.446436
81.362681	0.451887
81.413293	0.434644
81.463904	0.450419
81.514515	0.436059
81.565126	0.422956
81.615737	0.433543
81.666348	0.425367
81.716960	0.372170
81.767571	0.438627
81.818182	0.416090
81.868793	0.432809
81.919404	0.404350
81.970015	0.401625
82.020626	0.407233
82.071238	0.419444
82.121849	0.433019
82.172460	0.418658
82.223071	0.427254
82.273682	0.421017
82.324293	0.417191
82.374905	0.404507
82.425516	0.441667
82.476127	0.415671
82.526738	0.445021
82.577349	0.405660
82.627960	0.423008
82.678571	0.427149
82.729183	0.411373
82.779794	0.406499
82.830405	0.424004
82.881016	0.396960
82.931627	0.436268
82.982238	0.410692
83.032850	0.427830
83.083461	0.463994
83.134072	0.387421
83.184683	0.431342
83.235294	0.412736
83.285905	0.428302
83.336516	0.420650
83.387128	0.402254
83.437739	0.412631
83.488350	0.416405
83.538961	0.415566
83.589572	0.418868
83.640183	0.418501
83.690794	0.413784
83.741406	0.433124
83.792017	0.462474
83.842628	0.422379
83.893239	0.445178
83.943850	0.426939
83.994461	0.430765
84.045073	0.457704
84.095684	0.417453
84.146295	0.466824
84.196906	0.442767
84.247517	0.480084
84.298128	0.468396
84.348739	0.457652
84.399351	0.478721
84.449962	0.475629
84.500573	0.453774
84.551184	0.472013
84.601795	0.446017
84.652406	0.493449
84.703018	0.510010
84.753629	0.507390
84.804240	0.488312
84.854851	0.520440
84.905462	0.512841
84.956073	0.496698
85.006684	0.525472
85.057296	0.527621
85.107907	0.530556
85.158518	0.519916
85.209129	0.559801
85.259740	0.549057
85.310351	0.573952
85.360963	0.547222
85.411574	0.538470
85.462185	0.577987
85.512796	0.568029
85.563407	0.554298
85.614018	0.585587
85.664629	0.565618
85.715241	0.609434
85.765852	0.626205
85.816463	0.628302
85.867074	0.618396
85.917685	0.607390
85.968296	0.608124
86.018908	0.650577
86.069519	0.615881
86.120130	0.614623
86.170741	0.616771
86.221352	0.652358
86.271963	0.629140
86.322574	0.620335
86.373186	0.638155
86.423797	0.659224
86.474408	0.634119
86.525019	0.609801
86.575630	0.647904
86.626241	0.601048
86.676853	0.588784
86.727464	0.601363
86.778075	0.630975
86.828686	0.621122
86.879297	0.570388
86.929908	0.557442
86.980519	0.576939
87.031131	0.577096
87.081742	0.573532
87.132353	0.551677
87.182964	0.579036
87.233575	0.561740
87.284186	0.541405
87.334798	0.570597
87.385409	0.532809
87.436020	0.515828
87.486631	0.509434
87.537242	0.501782
87.587853	0.520126
87.638464	0.484853
87.689076	0.483438
87.739687	0.492872
87.790298	0.476205
87.840909	0.466824
87.891520	0.476730
87.942131	0.462683
87.992743	0.451834
88.043354	0.430660
88.093965	0.428197
88.144576	0.463994
88.195187	0.431866
