Data: martedì 9 giugno 2020	Ora: 13:33
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 R66_LR_Acc_e2e	
pass energy/rall 1: 0.00	pass energy/rall 2: 45.00	
******************************************************
Scansione:    angolo polare
Min (eV): 200.00	Max (eV): 310.00	Step (eV): 1.00	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 4.60
polar angle (deg): 310.00	X axis (mm): 577.00
*******************  R66 parameters ********************
Step in ch_x_eV: 20	Ch x eV @ Ep=1eV: 5236
binned channels: 6	same region acquisitions: 21
******************************************************
Acq. time (s):  1.00	Number of scans:  1	Total acq. time (s):  1.00
******************************************************
200.000000	23578.000000
201.000000	24406.000000
202.000000	25615.000000
203.000000	27280.000000
204.000000	27847.000000
205.000000	29482.000000
206.000000	31259.000000
207.000000	31910.000000
208.000000	32975.000000
209.000000	33927.000000
210.000000	34930.000000
211.000000	35514.000000
212.000000	35762.000000
213.000000	37212.000000
214.000000	36967.000000
215.000000	37983.000000
216.000000	38110.000000
217.000000	39137.000000
218.000000	39276.000000
219.000000	39094.000000
220.000000	39275.000000
221.000000	39438.000000
222.000000	40081.000000
223.000000	40102.000000
224.000000	40408.000000
225.000000	40432.000000
226.000000	41042.000000
227.000000	41198.000000
228.000000	41604.000000
229.000000	41664.000000
230.000000	41710.000000
231.000000	41956.000000
232.000000	42257.000000
233.000000	42074.000000
234.000000	42350.000000
235.000000	42142.000000
236.000000	42293.000000
237.000000	42802.000000
238.000000	43317.000000
239.000000	43502.000000
240.000000	43388.000000
241.000000	43492.000000
242.000000	43276.000000
243.000000	43890.000000
244.000000	43917.000000
245.000000	44210.000000
246.000000	44438.000000
247.000000	44651.000000
248.000000	45005.000000
249.000000	45279.000000
250.000000	44587.000000
251.000000	44495.000000
252.000000	45358.000000
253.000000	45207.000000
254.000000	45064.000000
255.000000	45318.000000
256.000000	45755.000000
257.000000	46148.000000
258.000000	45854.000000
259.000000	45500.000000
260.000000	45717.000000
261.000000	45903.000000
262.000000	46335.000000
263.000000	45918.000000
264.000000	46307.000000
265.000000	46216.000000
266.000000	46539.000000
267.000000	46556.000000
268.000000	46637.000000
269.000000	46787.000000
270.000000	46769.000000
271.000000	46916.000000
272.000000	47631.000000
273.000000	47573.000000
274.000000	47999.000000
275.000000	47892.000000
276.000000	48356.000000
277.000000	48362.000000
278.000000	48534.000000
279.000000	48490.000000
280.000000	48584.000000
281.000000	49062.000000
282.000000	48864.000000
283.000000	48772.000000
284.000000	48871.000000
285.000000	48637.000000
286.000000	48838.000000
287.000000	48870.000000
288.000000	48739.000000
289.000000	48384.000000
290.000000	47990.000000
291.000000	47414.000000
292.000000	47386.000000
293.000000	46218.000000
294.000000	46172.000000
295.000000	45739.000000
296.000000	44943.000000
297.000000	44006.000000
298.000000	43611.000000
299.000000	42356.000000
300.000000	41336.000000
301.000000	39697.000000
302.000000	38418.000000
303.000000	37043.000000
304.000000	35650.000000
305.000000	34095.000000
306.000000	32691.000000
307.000000	30643.000000
308.000000	28860.000000
309.000000	26619.000000
310.000000	24152.000000
