Data: venerdì 5 giugno 2020	Ora: 15:13
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 R66_LR_Acc_e2e	
pass energy/rall 1: 0.00	pass energy/rall 2: 25.00	
******************************************************
Scansione:    angolo polare
Min (eV): 200.00	Max (eV): 320.00	Step (eV): 0.50	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 12.50
polar angle (deg): 320.00	X axis (mm): 577.00
*******************  R66 parameters ********************
Step in ch_x_eV: 20	Ch x eV @ Ep=1eV: 5236
binned channels: 11	same region acquisitions: 21
******************************************************
Acq. time (s):  1.00	Number of scans:  1	Total acq. time (s):  1.00
******************************************************
312.500000	569.000000
313.000000	525.000000
313.500000	519.000000
314.000000	516.000000
314.500000	489.000000
315.000000	416.000000
315.500000	470.000000
316.000000	409.000000
316.500000	365.000000
317.000000	369.000000
317.500000	339.000000
318.000000	365.000000
318.500000	312.000000
319.000000	359.000000
319.500000	369.000000
320.000000	410.000000
