Data: martedì 9 giugno 2020	Ora: 15:05
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 R66_LR_Acc_e2e	
pass energy/rall 1: 0.00	pass energy/rall 2: 45.00	
******************************************************
Scansione:    angolo polare
Min (eV): 200.00	Max (eV): 310.00	Step (eV): 1.00	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 15.00
polar angle (deg): 310.00	X axis (mm): 577.00
*******************  R66 parameters ********************
Step in ch_x_eV: 20	Ch x eV @ Ep=1eV: 5236
binned channels: 6	same region acquisitions: 21
******************************************************
Acq. time (s):  1.00	Number of scans:  1	Total acq. time (s):  1.00
******************************************************
200.000000	699.000000
201.000000	736.000000
202.000000	747.000000
203.000000	766.000000
204.000000	773.000000
205.000000	796.000000
206.000000	833.000000
207.000000	818.000000
208.000000	823.000000
209.000000	918.000000
210.000000	859.000000
211.000000	948.000000
212.000000	937.000000
213.000000	886.000000
214.000000	939.000000
215.000000	1015.000000
216.000000	954.000000
217.000000	988.000000
218.000000	1031.000000
219.000000	1061.000000
220.000000	999.000000
221.000000	1068.000000
222.000000	1069.000000
223.000000	1037.000000
224.000000	1052.000000
225.000000	1082.000000
226.000000	1091.000000
227.000000	1095.000000
228.000000	1120.000000
229.000000	1159.000000
230.000000	1111.000000
231.000000	1141.000000
232.000000	1018.000000
233.000000	1131.000000
234.000000	1149.000000
235.000000	1160.000000
236.000000	1135.000000
237.000000	1203.000000
238.000000	1203.000000
239.000000	1185.000000
240.000000	1197.000000
241.000000	1153.000000
242.000000	1197.000000
243.000000	1157.000000
244.000000	1244.000000
245.000000	1141.000000
246.000000	1291.000000
247.000000	1171.000000
248.000000	1247.000000
249.000000	1116.000000
250.000000	1169.000000
251.000000	1198.000000
252.000000	1211.000000
253.000000	1171.000000
254.000000	1202.000000
255.000000	1159.000000
256.000000	1271.000000
257.000000	1208.000000
258.000000	1189.000000
259.000000	1211.000000
260.000000	1218.000000
261.000000	1179.000000
262.000000	1240.000000
263.000000	1179.000000
264.000000	1195.000000
265.000000	1182.000000
266.000000	1287.000000
267.000000	1272.000000
268.000000	1220.000000
269.000000	1194.000000
270.000000	1115.000000
271.000000	1229.000000
272.000000	1205.000000
273.000000	1205.000000
274.000000	1183.000000
275.000000	1245.000000
276.000000	1233.000000
277.000000	1208.000000
278.000000	1216.000000
279.000000	1227.000000
280.000000	1225.000000
281.000000	1193.000000
282.000000	1256.000000
283.000000	1156.000000
284.000000	1173.000000
285.000000	1208.000000
286.000000	1162.000000
287.000000	1175.000000
288.000000	1126.000000
289.000000	1112.000000
290.000000	1082.000000
291.000000	1052.000000
292.000000	1075.000000
293.000000	1087.000000
294.000000	1066.000000
295.000000	1097.000000
296.000000	1008.000000
297.000000	974.000000
298.000000	983.000000
299.000000	933.000000
300.000000	863.000000
301.000000	797.000000
302.000000	812.000000
303.000000	732.000000
304.000000	673.000000
305.000000	616.000000
306.000000	601.000000
307.000000	556.000000
308.000000	463.000000
309.000000	417.000000
310.000000	329.000000
