Data: venerdì 12 giugno 2020	Ora: 14:57
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 R66_LR_Acc_e2e	
pass energy/rall 1: 0.00	pass energy/rall 2: 45.00	
******************************************************
Scansione:    angolo polare
Min (eV): 200.00	Max (eV): 310.00	Step (eV): 1.00	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 4.60
polar angle (deg): 310.00	X axis (mm): 531.00
*******************  R66 parameters ********************
Step in ch_x_eV: 40	Ch x eV @ Ep=1eV: 5236
binned channels: 11	same region acquisitions: 11
******************************************************
Acq. time (s):  1.00	Number of scans:  1	Total acq. time (s):  1.00
******************************************************
200.000000	9462.000000
201.000000	9936.000000
202.000000	10351.000000
203.000000	10641.000000
204.000000	11273.000000
205.000000	11573.000000
206.000000	11837.000000
207.000000	12371.000000
208.000000	12944.000000
209.000000	13345.000000
210.000000	13610.000000
211.000000	13908.000000
212.000000	14313.000000
213.000000	14691.000000
214.000000	15050.000000
215.000000	15460.000000
216.000000	15903.000000
217.000000	16324.000000
218.000000	16486.000000
219.000000	16790.000000
220.000000	17134.000000
221.000000	17482.000000
222.000000	17713.000000
223.000000	17949.000000
224.000000	18401.000000
225.000000	18579.000000
226.000000	19289.000000
227.000000	19352.000000
228.000000	19571.000000
229.000000	19722.000000
230.000000	19870.000000
231.000000	20424.000000
232.000000	20805.000000
233.000000	20977.000000
234.000000	20817.000000
235.000000	20929.000000
236.000000	21017.000000
237.000000	21244.000000
238.000000	21620.000000
239.000000	21847.000000
240.000000	22318.000000
241.000000	22139.000000
242.000000	22932.000000
243.000000	22954.000000
244.000000	23212.000000
245.000000	23762.000000
246.000000	23509.000000
247.000000	23935.000000
248.000000	24024.000000
249.000000	24037.000000
250.000000	23916.000000
251.000000	24052.000000
252.000000	24561.000000
253.000000	24539.000000
254.000000	24805.000000
255.000000	24956.000000
256.000000	24756.000000
257.000000	25258.000000
258.000000	25456.000000
259.000000	25299.000000
260.000000	25454.000000
261.000000	25546.000000
262.000000	25570.000000
263.000000	25691.000000
264.000000	26542.000000
265.000000	26452.000000
266.000000	25772.000000
267.000000	25404.000000
268.000000	25765.000000
269.000000	25319.000000
270.000000	25794.000000
271.000000	25821.000000
272.000000	25416.000000
273.000000	25626.000000
274.000000	25269.000000
275.000000	25245.000000
276.000000	25608.000000
277.000000	25043.000000
278.000000	24858.000000
279.000000	24381.000000
280.000000	24548.000000
281.000000	24359.000000
282.000000	23943.000000
283.000000	23639.000000
284.000000	23355.000000
285.000000	23359.000000
286.000000	22925.000000
287.000000	22297.000000
288.000000	21896.000000
289.000000	21512.000000
290.000000	21331.000000
291.000000	20534.000000
292.000000	20362.000000
293.000000	19953.000000
294.000000	18992.000000
295.000000	18505.000000
296.000000	17883.000000
297.000000	17404.000000
298.000000	17009.000000
299.000000	16477.000000
300.000000	15602.000000
301.000000	15087.000000
302.000000	14643.000000
303.000000	13926.000000
304.000000	13425.000000
305.000000	13011.000000
306.000000	12120.000000
307.000000	11491.000000
308.000000	10685.000000
309.000000	9926.000000
310.000000	8894.000000
