Data: mercoledì 17 giugno 2020	Ora: 10:38
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 ROUTE66_HR_XPS	
pass energy/rall 1: 0.00	pass energy/rall 2: 40.00	
******************************************************
Scansione:    angolo polare
Min (eV): 250.00	Max (eV): 340.00	Step (eV): 1.00	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 1198.70
polar angle (deg): 340.00	X axis (mm): 580.00
*******************  R66 parameters ********************
Step in ch_x_eV: 10	Ch x eV @ Ep=1eV: 5236
binned channels: 7	same region acquisitions: 41
******************************************************
Acq. time (s):  1.00	Number of scans:  1	Total acq. time (s):  1.00
******************************************************
250.000000	241.000000
251.000000	301.000000
252.000000	372.000000
253.000000	468.000000
254.000000	550.000000
255.000000	514.000000
256.000000	590.000000
257.000000	575.000000
258.000000	575.000000
259.000000	584.000000
260.000000	596.000000
261.000000	561.000000
262.000000	584.000000
263.000000	682.000000
264.000000	614.000000
265.000000	574.000000
266.000000	607.000000
267.000000	578.000000
268.000000	601.000000
269.000000	564.000000
270.000000	597.000000
271.000000	595.000000
272.000000	536.000000
273.000000	570.000000
274.000000	564.000000
275.000000	597.000000
276.000000	551.000000
277.000000	530.000000
278.000000	532.000000
279.000000	494.000000
280.000000	560.000000
281.000000	503.000000
282.000000	524.000000
283.000000	551.000000
284.000000	482.000000
285.000000	482.000000
286.000000	506.000000
287.000000	491.000000
288.000000	513.000000
289.000000	482.000000
290.000000	489.000000
291.000000	520.000000
292.000000	494.000000
293.000000	475.000000
294.000000	477.000000
295.000000	473.000000
296.000000	439.000000
297.000000	451.000000
298.000000	443.000000
299.000000	392.000000
300.000000	430.000000
301.000000	401.000000
302.000000	387.000000
303.000000	386.000000
304.000000	374.000000
305.000000	384.000000
306.000000	394.000000
307.000000	384.000000
308.000000	360.000000
309.000000	317.000000
310.000000	343.000000
311.000000	305.000000
312.000000	314.000000
313.000000	326.000000
314.000000	294.000000
315.000000	283.000000
316.000000	294.000000
317.000000	269.000000
318.000000	267.000000
319.000000	252.000000
320.000000	258.000000
321.000000	269.000000
322.000000	221.000000
323.000000	227.000000
324.000000	197.000000
325.000000	233.000000
326.000000	208.000000
327.000000	191.000000
328.000000	162.000000
329.000000	171.000000
330.000000	163.000000
331.000000	143.000000
332.000000	152.000000
333.000000	150.000000
334.000000	116.000000
335.000000	107.000000
336.000000	107.000000
337.000000	120.000000
338.000000	93.000000
339.000000	87.000000
340.000000	69.000000
