Data: martedì 16 giugno 2020	Ora: 13:00
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 R66_LR_Acc_e2e	
pass energy/rall 1: 0.00	pass energy/rall 2: 45.00	
******************************************************
Scansione:    angolo polare
Min (eV): 200.00	Max (eV): 310.00	Step (eV): 1.00	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 4.60
polar angle (deg): 310.00	X axis (mm): 576.00
*******************  R66 parameters ********************
Step in ch_x_eV: 20	Ch x eV @ Ep=1eV: 5236
binned channels: 11	same region acquisitions: 21
******************************************************
Acq. time (s):  1.00	Number of scans:  1	Total acq. time (s):  1.00
******************************************************
200.000000	5974.000000
201.000000	6663.000000
202.000000	7439.000000
203.000000	8519.000000
204.000000	10103.000000
205.000000	11062.000000
206.000000	12047.000000
207.000000	13183.000000
208.000000	14533.000000
209.000000	15890.000000
210.000000	16842.000000
211.000000	17855.000000
212.000000	18254.000000
213.000000	19391.000000
214.000000	20216.000000
215.000000	21631.000000
216.000000	22724.000000
217.000000	23871.000000
218.000000	24566.000000
219.000000	25233.000000
220.000000	25915.000000
221.000000	26624.000000
222.000000	27543.000000
223.000000	28080.000000
224.000000	28780.000000
225.000000	29215.000000
226.000000	29776.000000
227.000000	30332.000000
228.000000	31117.000000
229.000000	31818.000000
230.000000	32127.000000
231.000000	32624.000000
232.000000	33214.000000
233.000000	33823.000000
234.000000	34744.000000
235.000000	35207.000000
236.000000	35581.000000
237.000000	35580.000000
238.000000	36246.000000
239.000000	36767.000000
240.000000	37337.000000
241.000000	37843.000000
242.000000	38172.000000
243.000000	38508.000000
244.000000	39098.000000
245.000000	39388.000000
246.000000	39994.000000
247.000000	39602.000000
248.000000	40189.000000
249.000000	40236.000000
250.000000	40532.000000
251.000000	40433.000000
252.000000	40684.000000
253.000000	40890.000000
254.000000	41138.000000
255.000000	41507.000000
256.000000	41689.000000
257.000000	41495.000000
258.000000	41888.000000
259.000000	41628.000000
260.000000	41939.000000
261.000000	42052.000000
262.000000	42211.000000
263.000000	41241.000000
264.000000	41286.000000
265.000000	41242.000000
266.000000	41335.000000
267.000000	41455.000000
268.000000	41143.000000
269.000000	41806.000000
270.000000	41379.000000
271.000000	41597.000000
272.000000	41319.000000
273.000000	40750.000000
274.000000	40840.000000
275.000000	40534.000000
276.000000	40566.000000
277.000000	40032.000000
278.000000	40826.000000
279.000000	40612.000000
280.000000	40036.000000
281.000000	39812.000000
282.000000	39591.000000
283.000000	38854.000000
284.000000	38692.000000
285.000000	38262.000000
286.000000	37616.000000
287.000000	37215.000000
288.000000	35991.000000
289.000000	35306.000000
290.000000	34959.000000
291.000000	34787.000000
292.000000	33651.000000
293.000000	32611.000000
294.000000	30633.000000
295.000000	29918.000000
296.000000	28293.000000
297.000000	26953.000000
298.000000	25826.000000
299.000000	24332.000000
300.000000	22590.000000
301.000000	20644.000000
302.000000	18991.000000
303.000000	17270.000000
304.000000	15845.000000
305.000000	14256.000000
306.000000	13133.000000
307.000000	11391.000000
308.000000	10238.000000
309.000000	8860.000000
310.000000	7929.000000
