Data: venerdì 5 giugno 2020	Ora: 16:08
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 R66_LR_Acc_e2e	
pass energy/rall 1: 0.00	pass energy/rall 2: 45.00	
******************************************************
Scansione:    angolo polare
Min (eV): 200.00	Max (eV): 310.00	Step (eV): 0.50	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 15.00
polar angle (deg): 310.00	X axis (mm): 577.00
*******************  R66 parameters ********************
Step in ch_x_eV: 20	Ch x eV @ Ep=1eV: 5236
binned channels: 6	same region acquisitions: 21
******************************************************
Acq. time (s):  1.00	Number of scans:  1	Total acq. time (s):  1.00
******************************************************
200.000000	723.000000
200.500000	665.000000
201.000000	741.000000
201.500000	736.000000
202.000000	709.000000
202.500000	716.000000
203.000000	762.000000
203.500000	751.000000
204.000000	789.000000
204.500000	815.000000
205.000000	840.000000
205.500000	730.000000
206.000000	801.000000
206.500000	804.000000
207.000000	869.000000
207.500000	833.000000
208.000000	871.000000
208.500000	854.000000
209.000000	912.000000
209.500000	837.000000
210.000000	873.000000
210.500000	998.000000
211.000000	921.000000
211.500000	912.000000
212.000000	902.000000
212.500000	874.000000
213.000000	923.000000
213.500000	958.000000
214.000000	971.000000
214.500000	1006.000000
215.000000	971.000000
215.500000	981.000000
216.000000	997.000000
216.500000	928.000000
217.000000	967.000000
217.500000	977.000000
218.000000	976.000000
218.500000	1048.000000
219.000000	1047.000000
219.500000	994.000000
220.000000	1055.000000
220.500000	1022.000000
221.000000	1072.000000
221.500000	1008.000000
222.000000	1040.000000
222.500000	1052.000000
223.000000	1042.000000
223.500000	1045.000000
224.000000	1017.000000
224.500000	965.000000
225.000000	1067.000000
225.500000	995.000000
226.000000	1044.000000
226.500000	1040.000000
227.000000	996.000000
227.500000	1038.000000
228.000000	1044.000000
228.500000	1083.000000
229.000000	1059.000000
229.500000	1043.000000
230.000000	969.000000
230.500000	1035.000000
231.000000	1051.000000
231.500000	1086.000000
232.000000	1027.000000
232.500000	1094.000000
233.000000	1056.000000
233.500000	1059.000000
234.000000	1025.000000
234.500000	1017.000000
235.000000	1028.000000
235.500000	1032.000000
236.000000	1112.000000
236.500000	1118.000000
237.000000	1117.000000
237.500000	1088.000000
238.000000	1085.000000
238.500000	1092.000000
239.000000	1120.000000
239.500000	1111.000000
240.000000	1154.000000
240.500000	1091.000000
241.000000	1141.000000
241.500000	1150.000000
242.000000	1143.000000
242.500000	1121.000000
243.000000	1121.000000
243.500000	1121.000000
244.000000	1113.000000
244.500000	1124.000000
245.000000	1103.000000
245.500000	1091.000000
246.000000	1132.000000
246.500000	1079.000000
247.000000	1076.000000
247.500000	1129.000000
248.000000	1162.000000
248.500000	1174.000000
249.000000	1054.000000
249.500000	1168.000000
250.000000	1140.000000
250.500000	1164.000000
251.000000	1105.000000
251.500000	1113.000000
252.000000	1118.000000
252.500000	1163.000000
253.000000	1118.000000
253.500000	1129.000000
254.000000	1123.000000
254.500000	1131.000000
255.000000	1107.000000
255.500000	1082.000000
256.000000	1106.000000
256.500000	1121.000000
257.000000	1069.000000
257.500000	1128.000000
258.000000	1138.000000
258.500000	1125.000000
259.000000	1159.000000
259.500000	1132.000000
260.000000	1167.000000
260.500000	1156.000000
261.000000	1165.000000
261.500000	1132.000000
262.000000	1118.000000
262.500000	1128.000000
263.000000	1109.000000
263.500000	1119.000000
264.000000	1089.000000
264.500000	1151.000000
265.000000	1176.000000
265.500000	1124.000000
266.000000	1139.000000
266.500000	1091.000000
267.000000	1144.000000
267.500000	1123.000000
268.000000	1127.000000
268.500000	1054.000000
269.000000	1064.000000
269.500000	1041.000000
270.000000	1104.000000
270.500000	1106.000000
271.000000	1085.000000
271.500000	1080.000000
272.000000	1039.000000
272.500000	1098.000000
273.000000	1044.000000
273.500000	1063.000000
274.000000	1107.000000
274.500000	1069.000000
275.000000	1065.000000
275.500000	1023.000000
276.000000	1107.000000
276.500000	1073.000000
277.000000	1082.000000
277.500000	1068.000000
278.000000	1081.000000
278.500000	1037.000000
279.000000	1080.000000
279.500000	1031.000000
280.000000	1038.000000
280.500000	1058.000000
281.000000	1053.000000
281.500000	1030.000000
282.000000	1055.000000
282.500000	1070.000000
283.000000	1001.000000
283.500000	944.000000
284.000000	990.000000
284.500000	1005.000000
285.000000	1001.000000
285.500000	937.000000
286.000000	882.000000
286.500000	940.000000
287.000000	974.000000
287.500000	899.000000
288.000000	881.000000
288.500000	938.000000
289.000000	864.000000
289.500000	882.000000
290.000000	885.000000
290.500000	856.000000
291.000000	845.000000
291.500000	838.000000
292.000000	813.000000
292.500000	846.000000
293.000000	785.000000
293.500000	827.000000
294.000000	768.000000
294.500000	708.000000
295.000000	739.000000
295.500000	762.000000
296.000000	701.000000
296.500000	671.000000
297.000000	637.000000
297.500000	665.000000
298.000000	622.000000
298.500000	654.000000
299.000000	627.000000
299.500000	572.000000
300.000000	601.000000
300.500000	543.000000
301.000000	527.000000
301.500000	522.000000
302.000000	537.000000
302.500000	500.000000
303.000000	484.000000
303.500000	464.000000
304.000000	413.000000
304.500000	405.000000
305.000000	376.000000
305.500000	373.000000
306.000000	333.000000
306.500000	321.000000
307.000000	323.000000
307.500000	306.000000
308.000000	271.000000
308.500000	259.000000
309.000000	215.000000
309.500000	229.000000
310.000000	209.000000
