Data: mercoledì 17 giugno 2020	Ora: 19:04
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 R66_LR_Acc_e2e	
pass energy/rall 1: 0.00	pass energy/rall 2: 25.00	
******************************************************
Scansione:    energia analizzata
Min (eV): 1.00	Max (eV): 19.00	Step (eV): 0.05	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 19.05
polar angle (deg): 266.00	X axis (mm): 580.00
*******************  R66 parameters ********************
Step in ch_x_eV: 20	Ch x eV @ Ep=1eV: 5236
binned channels: 11	same region acquisitions: 21
******************************************************
Acq. time (s):  0.50	Number of scans:  3	Total acq. time (s):  1.50
******************************************************
0.068946	0.060606
0.121467	0.090909
0.173988	0.121212
0.226509	0.070707
0.279030	0.181818
0.331551	0.156566
0.384072	0.227273
0.436593	0.121212
0.489114	0.145455
0.541635	0.143434
0.594156	0.190476
0.646677	0.216450
0.699198	0.226190
0.751719	0.181818
0.804240	0.257576
0.856761	0.370370
0.909282	0.303704
0.961803	0.363636
1.014324	0.724518
1.066845	0.936639
1.119366	1.227273
1.171887	1.531469
1.224408	1.976690
1.276929	2.002331
1.329450	2.138528
1.381971	1.988456
1.434492	2.084848
1.487013	1.789899
1.539534	1.761364
1.592055	1.707442
1.644576	1.766885
1.697097	1.791246
1.749618	1.690413
1.802139	1.735247
1.854660	1.812281
1.907181	2.072727
1.959702	2.058153
2.012223	1.906061
2.064744	2.112410
2.117265	2.096970
2.169786	2.419625
2.222307	2.071861
2.274828	2.487879
2.327349	2.467821
2.379870	2.696970
2.432391	2.613709
2.484912	2.809091
2.537433	2.825685
2.589954	3.021212
2.642475	3.234776
2.694996	3.164358
2.747517	3.696970
2.800038	3.515584
2.852559	4.190909
2.905080	3.583983
2.957601	4.127273
3.010122	4.294084
3.062643	4.169697
3.115164	4.298268
3.167685	4.400000
3.220206	4.731890
3.272727	4.473304
3.325248	4.887879
3.377769	5.039105
3.430290	4.963636
3.482811	4.946465
3.535332	5.239394
3.587853	5.456710
3.640374	5.293939
3.692895	5.405916
3.745416	5.650505
3.797937	6.012121
3.850458	5.461039
3.902979	6.300000
3.955500	5.831890
4.008021	6.130303
4.060542	5.855556
4.113063	5.827273
4.165584	5.817316
4.218105	5.654545
4.270626	6.195960
4.323147	5.548052
4.375668	5.860606
4.428189	5.584127
4.480710	5.984848
4.533231	5.445310
4.585752	5.606061
4.638273	5.885859
4.690794	5.163636
4.743316	5.504329
4.795837	5.168543
4.848358	5.636364
4.900879	5.261760
4.953400	5.600000
5.005921	5.165512
5.058442	5.160606
5.110963	5.186436
5.163484	5.145455
5.216005	5.358153
5.268526	4.936364
5.321047	5.187157
5.373568	4.626840
5.426089	4.933333
5.478610	4.669264
5.531131	4.790909
5.583652	4.677922
5.636173	4.721212
5.688694	4.543290
5.741215	4.269697
5.793736	4.768110
5.846257	4.259307
5.898778	4.475758
5.951299	4.164935
6.003820	4.248485
6.056341	3.994949
6.108862	3.896970
6.161383	4.005916
6.213904	3.815152
6.266425	3.792352
6.318946	3.754545
6.371467	3.949495
6.423988	3.434488
6.476509	3.827273
6.529030	3.332900
6.581551	3.575758
6.634072	3.585714
6.686593	3.472727
6.739114	3.577201
6.791635	3.127273
6.844156	3.462193
6.896677	3.018759
6.949198	3.348485
7.001719	2.867532
7.054240	3.087879
7.106761	2.966667
7.159282	2.766667
7.211803	2.989899
7.264324	2.712121
7.316845	2.972727
7.369366	2.839394
7.421887	2.934921
7.474408	2.575902
7.526929	2.815152
7.579450	2.476768
7.631971	2.587879
7.684492	2.543146
7.737013	2.333333
7.789534	2.490765
7.842055	2.278788
7.894576	2.522655
7.947097	2.205483
7.999618	2.487879
8.052139	2.211688
8.104660	2.363636
8.157181	2.188745
8.209702	2.169697
8.262223	2.080375
8.314744	1.890909
8.367265	2.180808
8.419786	1.921212
8.472307	1.985859
8.524828	1.815729
8.577349	1.857576
8.629870	1.776623
8.682391	1.818182
8.734912	1.825830
8.787433	1.724242
8.839954	1.818470
8.892475	1.781818
8.944996	1.605195
8.997517	1.681818
9.050038	1.669697
9.102559	1.679654
9.155080	1.693939
9.207601	1.463348
9.260122	1.542424
9.312643	1.464502
9.365164	1.451515
9.417685	1.400000
9.470206	1.366667
9.522727	1.433333
9.575248	1.392785
9.627769	1.478788
9.680290	1.339105
9.732811	1.321212
9.785332	1.267677
9.837853	1.287879
9.890374	1.247042
9.942895	1.218182
9.995416	1.292208
10.047937	1.232323
10.100458	1.187879
10.152979	1.075469
10.205500	1.145455
10.258021	1.007359
10.310542	1.090909
10.363063	1.097114
10.415584	1.115152
10.468105	0.996537
10.520626	1.015152
10.573147	1.015007
10.625668	1.014141
10.678189	1.006061
10.730710	1.006205
10.783231	0.987879
10.835752	0.959740
10.888273	0.945455
10.940794	0.910967
10.993316	0.815152
11.045837	0.910967
11.098358	0.805483
11.150879	0.906061
11.203400	0.818038
11.255921	0.890909
11.308442	0.821068
11.360963	0.857576
11.413484	0.808514
11.466005	0.766667
11.518526	0.858586
11.571047	0.748485
11.623568	0.743290
11.676089	0.752381
11.728610	0.790909
11.781131	0.737951
11.833652	0.796970
11.886173	0.752381
11.938694	0.760606
11.991215	0.618615
12.043736	0.627273
12.096257	0.610245
12.148778	0.630592
12.201299	0.648485
12.253820	0.611833
12.306341	0.663636
12.358862	0.608947
12.411383	0.621212
12.463904	0.616739
12.516425	0.590909
12.568946	0.688456
12.621467	0.581818
12.673988	0.594517
12.726509	0.575469
12.779030	0.566667
12.831551	0.545743
12.884072	0.515152
12.936593	0.542280
12.989114	0.484848
13.041635	0.571573
13.094156	0.515152
13.146677	0.532179
13.199198	0.470563
13.251719	0.569697
13.304240	0.505916
13.356761	0.542424
13.409282	0.537085
13.461803	0.493939
13.514324	0.546753
13.566845	0.481818
13.619366	0.529870
13.671887	0.475758
13.724408	0.578644
13.776929	0.462049
13.829450	0.509091
13.881971	0.478932
13.934492	0.427273
13.987013	0.415873
14.039534	0.460606
14.092055	0.365079
14.144576	0.403030
14.197097	0.464935
14.249618	0.419625
14.302139	0.490909
14.354660	0.350649
14.407181	0.445455
14.459702	0.510390
14.512223	0.445455
14.564744	0.400433
14.617265	0.406061
14.669786	0.388167
14.722307	0.384848
14.774828	0.415729
14.827349	0.446465
14.879870	0.415152
14.932391	0.425397
14.984912	0.378788
15.037433	0.361616
15.089954	0.372727
15.142475	0.401443
15.194996	0.381818
15.247517	0.358153
15.300038	0.368543
15.352559	0.351515
15.405080	0.392063
15.457601	0.348485
15.510122	0.380952
15.562643	0.336364
15.615164	0.367965
15.667685	0.415152
15.720206	0.347186
15.772727	0.354545
15.825248	0.373882
15.877769	0.338095
15.930290	0.424242
15.982811	0.295238
16.035332	0.287879
16.087853	0.408802
16.140374	0.381818
16.192895	0.386580
16.245416	0.309091
16.297937	0.364791
16.350458	0.398413
16.402979	0.324242
16.455500	0.310245
16.508021	0.330303
16.560542	0.344300
16.613063	0.315152
16.665584	0.400433
16.718105	0.336364
16.770626	0.373593
16.823147	0.284848
16.875668	0.304473
16.928189	0.356133
16.980710	0.327273
17.033231	0.410390
17.085752	0.372727
17.138273	0.368398
17.190794	0.339394
17.243316	0.398268
17.295837	0.381818
17.348358	0.361760
17.400879	0.277345
17.453400	0.345455
17.505921	0.370996
17.558442	0.309091
17.610963	0.362482
17.663484	0.300000
17.716005	0.308081
17.768526	0.300000
17.821047	0.307648
17.873568	0.324242
17.926089	0.326118
17.978610	0.364214
18.031131	0.309091
18.083652	0.289755
18.136173	0.275758
18.188694	0.357576
18.241215	0.306220
18.293736	0.296651
18.346257	0.323232
18.398778	0.352941
18.451299	0.306595
18.503820	0.420455
18.556341	0.441919
18.608862	0.371717
18.661383	0.341991
18.713904	0.458874
18.766425	0.363636
18.818946	0.349650
18.871467	0.391608
18.923988	0.277778
18.976509	0.370983
19.029030	0.478237
19.081551	0.369697
19.134072	0.351515
19.186593	0.404040
19.239114	0.409091
19.291635	0.424242
19.344156	0.379870
19.396677	0.372294
19.449198	0.406926
19.501719	0.393939
19.554240	0.496970
19.606761	0.342424
19.659282	0.333333
19.711803	0.323232
19.764324	0.303030
19.816845	0.282828
19.869366	0.757576
19.921887	0.242424
19.974408	0.303030
