Data: venerdì 12 giugno 2020	Ora: 13:46
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 R66_LR_Acc_e2e	
pass energy/rall 1: 0.00	pass energy/rall 2: 25.00	
******************************************************
Scansione:    angolo polare
Min (eV): 200.00	Max (eV): 310.00	Step (eV): 1.00	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 12.50
polar angle (deg): 310.00	X axis (mm): 576.00
*******************  R66 parameters ********************
Step in ch_x_eV: 40	Ch x eV @ Ep=1eV: 5236
binned channels: 11	same region acquisitions: 11
******************************************************
Acq. time (s):  1.00	Number of scans:  1	Total acq. time (s):  1.00
******************************************************
200.000000	6015.000000
201.000000	6140.000000
202.000000	6468.000000
203.000000	6969.000000
204.000000	7245.000000
205.000000	7238.000000
206.000000	7771.000000
207.000000	8032.000000
208.000000	8567.000000
209.000000	8717.000000
210.000000	8805.000000
211.000000	9122.000000
212.000000	9353.000000
213.000000	9502.000000
214.000000	9713.000000
215.000000	9937.000000
216.000000	10311.000000
217.000000	10551.000000
218.000000	11030.000000
219.000000	10931.000000
220.000000	11062.000000
221.000000	11316.000000
222.000000	11512.000000
223.000000	11795.000000
224.000000	12182.000000
225.000000	11969.000000
226.000000	12372.000000
227.000000	12522.000000
228.000000	12497.000000
229.000000	12784.000000
230.000000	12807.000000
231.000000	12845.000000
232.000000	13187.000000
233.000000	13271.000000
234.000000	13540.000000
235.000000	13892.000000
236.000000	13985.000000
237.000000	13917.000000
238.000000	14388.000000
239.000000	14669.000000
240.000000	14678.000000
241.000000	14776.000000
242.000000	14608.000000
243.000000	14339.000000
244.000000	14784.000000
245.000000	14700.000000
246.000000	14749.000000
247.000000	14926.000000
248.000000	14971.000000
249.000000	14844.000000
250.000000	15248.000000
251.000000	14990.000000
252.000000	15330.000000
253.000000	15301.000000
254.000000	15554.000000
255.000000	15473.000000
256.000000	15624.000000
257.000000	15398.000000
258.000000	15498.000000
259.000000	15640.000000
260.000000	15634.000000
261.000000	15058.000000
262.000000	15034.000000
263.000000	14867.000000
264.000000	14928.000000
265.000000	14866.000000
266.000000	14780.000000
267.000000	14916.000000
268.000000	14905.000000
269.000000	14957.000000
270.000000	14798.000000
271.000000	14928.000000
272.000000	14423.000000
273.000000	14423.000000
274.000000	14364.000000
275.000000	14578.000000
276.000000	14332.000000
277.000000	14360.000000
278.000000	14003.000000
279.000000	13710.000000
280.000000	13676.000000
281.000000	13460.000000
282.000000	13451.000000
283.000000	12938.000000
284.000000	12781.000000
285.000000	12368.000000
286.000000	12084.000000
287.000000	11861.000000
288.000000	11427.000000
289.000000	10996.000000
290.000000	10842.000000
291.000000	10391.000000
292.000000	9848.000000
293.000000	9398.000000
294.000000	8898.000000
295.000000	8592.000000
296.000000	8180.000000
297.000000	7793.000000
298.000000	7316.000000
299.000000	6647.000000
300.000000	6272.000000
301.000000	5862.000000
302.000000	5618.000000
303.000000	4891.000000
304.000000	4613.000000
305.000000	4301.000000
306.000000	3820.000000
307.000000	3471.000000
308.000000	2873.000000
309.000000	2411.000000
310.000000	1995.000000
