=== DATA FILE SAVED WITH SOFTWARE VERSION: V2.9.8 ===
=== WAVECATCHER SYSTEM OF TYPE 3 WITH 72 CHANNELS AND GAIN: 1.0 ===
=== Rate coincidence masks (4 bits) for ch 0 to 63: 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 === Posttrig in ns for SamBlock 0 to 35: 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 0 0 0 0 ===
=== Common: EventNumber UnixTime Date Time TDC ===
=== Individual per channel: ChannelNb EventID MeasuredBaseline[Volts] Amplitude[Volts] Charge[pC] LeadingEdgeTime[ns] TrailingEdgeTime[ns] RateCounter[Hz]=== 
=== Event 18 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 65543 == Nb of channels = 2 ===
16 18 -1.019465 0.023729  391.464 1592.808 1600.294    5229.67
17 18 0.058731 1.191914 43294.812 698.412 2557.250  100764.28
=== Event 19 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 68797 == Nb of channels = 2 ===
16 19 -1.010421 -0.016574 -252.867 705.387 709.584    5229.67
17 19 0.058467 1.195291 42694.223 724.287 2557.249  100764.28
=== Event 20 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 72052 == Nb of channels = 2 ===
16 20 -1.003561 -0.026983 -351.470 1283.298 1577.390    5229.67
17 20 0.058696 1.191883 43135.512 705.191 2557.250  100764.28
=== Event 21 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 75307 == Nb of channels = 2 ===
16 21 -1.017704 0.021647  214.444 1474.120 1489.579    5229.67
17 21 0.058658 1.198673 43328.484 697.271 2557.248  100764.28
=== Event 22 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 78561 == Nb of channels = 2 ===
16 22 -1.017254 0.019545  332.962 889.359 924.360    5229.67
17 22 0.058962 1.196689 42584.648 727.893 2557.249  100764.28
=== Event 23 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 81816 == Nb of channels = 2 ===
16 23 -1.021293 0.020980   86.845 1230.951 1251.548    5229.67
17 23 0.058732 1.197409 42913.930 714.655 2557.249  100764.28
=== Event 24 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 85071 == Nb of channels = 2 ===
16 24 -1.018285 0.020365  232.024 1093.240 1097.807    5229.67
17 24 0.058655 1.195528 43223.848 701.642 2557.249  100764.28
=== Event 25 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 88325 == Nb of channels = 2 ===
16 25 -1.013779 0.016692   67.699 960.319 964.648    5229.67
17 25 0.059078 1.196212 42602.176 726.884 2557.249  100764.28
=== Event 26 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 91580 == Nb of channels = 2 ===
16 26 -1.024337 0.038429  674.455 2520.414 2528.516    5229.67
17 26 0.058695 1.196724 42985.352 711.610 2557.249  100764.28
=== Event 27 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 94835 == Nb of channels = 2 ===
16 27 -1.021860 0.023807  286.258 2219.651 2557.207    5229.67
17 27 0.058773 1.199565 43259.875 699.843 2557.248  100764.28
=== Event 28 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 98089 == Nb of channels = 2 ===
16 28 -1.017904 -0.022735  148.867 204.643 211.404    5229.67
17 28 0.058809 1.195112 42735.930 721.873 2557.249  100764.28
=== Event 29 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 101344 == Nb of channels = 2 ===
16 29 -1.025012 0.012002  159.058 1960.037 1963.729    5229.67
17 29 0.058987 1.198970 43124.383 705.080 2557.248  100764.28
=== Event 30 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 104598 == Nb of channels = 2 ===
16 30 -1.010201 -0.023418 -480.976 481.068 761.843    5229.67
17 30 0.058656 1.200309 42664.695 725.152 2557.248  100764.28
=== Event 31 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 107853 == Nb of channels = 2 ===
16 31 -1.023201 0.023623  564.275 1444.365 1456.645    5229.67
17 31 0.058501 1.195699 43113.371 706.449 2557.249  100764.28
=== Event 32 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 111107 == Nb of channels = 2 ===
16 32 -1.016296 0.015215   50.430 1917.827 1924.211    5229.67
17 32 0.058734 1.197116 42497.891 731.917 2557.249  100764.28
=== Event 33 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 114362 == Nb of channels = 2 ===
16 33 -1.010349 -0.018689 -186.717 1902.298 1906.150    5229.67
17 33 0.059000 1.198327 42883.398 715.166 2557.248  100764.28
=== Event 34 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 117617 == Nb of channels = 2 ===
16 34 -1.018621 0.018934  134.387 672.797 677.749    5229.67
17 34 0.058848 1.195019 43392.148 694.231 2557.249  100764.28
=== Event 35 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 120871 == Nb of channels = 2 ===
16 35 -1.018937 0.015615  203.756 2245.613 2258.214    5229.67
17 35 0.058696 1.200705 42963.531 712.582 2557.248  100764.28
=== Event 36 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 124125 == Nb of channels = 2 ===
16 36 -1.009012 0.022359 -249.243 2174.735 2180.740    5229.67
17 36 0.058734 1.199784 42549.820 729.832 2557.248  100764.28
=== Event 37 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 127380 == Nb of channels = 2 ===
16 37 -1.019572 0.019100  181.139 980.484 984.940    5229.67
17 37 0.058770 1.200145 42963.320 712.311 2557.248  100764.28
=== Event 38 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 130635 == Nb of channels = 2 ===
16 38 -1.014580 0.020512  158.038 1169.001 1255.973    5229.67
17 38 0.059153 1.193329 43383.609 693.938 2557.249  100764.28
=== Event 39 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 133889 == Nb of channels = 2 ===
16 39 -1.010317 0.018635 -147.405 2436.555 2442.395    5229.67
17 39 0.058926 1.191507 42806.660 718.598 2557.250  100764.28
=== Event 40 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 137144 == Nb of channels = 2 ===
16 40 -1.021695 0.026531  222.346 1240.468 1247.234    5229.67
17 40 0.058834 1.196539 43249.152 700.251 2557.249  100764.28
=== Event 41 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 140398 == Nb of channels = 2 ===
16 41 -1.027123 0.027003  602.255 508.730 889.015    5229.67
17 41 0.058692 1.191313 42647.168 725.744 2557.250  100764.28
=== Event 42 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 143653 == Nb of channels = 2 ===
16 42 -1.019731 0.014458   67.161 875.204 880.014    5229.67
17 42 0.058618 1.196573 43104.094 706.612 2557.249  100764.28
=== Event 43 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 146907 == Nb of channels = 2 ===
16 43 -1.023840 0.030063  323.621 1520.492 1526.711    5229.67
17 43 0.058696 1.191340 42523.414 730.682 2557.250  100764.28
=== Event 44 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 150162 == Nb of channels = 2 ===
16 44 -1.007142 -0.031300 -616.094 1277.873 1338.647    5229.67
17 44 0.058771 1.193017 42932.242 713.304 2557.250  100764.28
=== Event 45 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 153417 == Nb of channels = 2 ===
16 45 -1.005081 -0.020727 -426.640 1178.397 1571.801    5229.67
17 45 0.058773 1.197297 43249.410 700.248 2557.249  100764.28
=== Event 46 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 156671 == Nb of channels = 2 ===
16 46 -1.011459 -0.019192 -115.296 1746.708 1751.092    5229.67
17 46 0.058543 1.191481 42595.352 728.192 2557.250  100764.28
=== Event 47 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 159926 == Nb of channels = 2 ===
16 47 -1.016604 0.017551  115.305 599.224 605.041    5229.67
17 47 0.058541 1.197737 43041.414 709.657 2557.249  100764.28
=== Event 48 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 163181 == Nb of channels = 2 ===
16 48 -1.018933 0.023770  204.437 647.717 941.459    5229.67
17 48 0.059035 1.190980 43342.590 695.746 2557.250  100764.28
=== Event 49 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 166435 == Nb of channels = 2 ===
16 49 -1.022481 0.031152  556.808 2020.195 2024.781    5229.67
17 49 0.058388 1.200669 42916.453 715.158 2557.248  100764.28
=== Event 50 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 169690 == Nb of channels = 2 ===
16 50 -1.006578 -0.020267 -228.148 2240.299 2321.504    5229.67
17 50 0.058616 1.193725 43233.074 701.296 2557.249  100764.28
=== Event 51 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 172944 == Nb of channels = 2 ===
16 51 -1.015268 -0.024320  -53.293 686.154 695.969    5229.67
17 51 0.058809 1.196087 42595.145 727.695 2557.249  100764.28
=== Event 52 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 176199 == Nb of channels = 2 ===
16 52 -1.011744 -0.030419 -381.975 2245.566 2252.499    5229.67
17 52 0.058872 1.193397 42930.633 713.560 2557.249  100764.28
=== Event 53 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 179454 == Nb of channels = 2 ===
16 53 -1.021274 0.031591  521.767 287.734 686.438    5229.67
17 53 0.058986 1.191073 43173.348 702.954 2557.250  100764.28
=== Event 54 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 182708 == Nb of channels = 2 ===
16 54 -1.011920 -0.015704 -157.713 1575.182 1589.984    5229.67
17 54 0.058541 1.199156 42499.691 732.453 2557.248  100764.28
=== Event 55 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 185963 == Nb of channels = 2 ===
16 55 -1.014589 -0.017535  -28.169 2525.617 2529.175    5229.67
17 55 0.058579 1.191444 42767.867 720.838 2557.250  100764.28
=== Event 56 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 189218 == Nb of channels = 2 ===
16 56 -1.019390 0.022968  221.461 1321.849 1327.997    5229.67
17 56 0.058883 1.197379 43005.008 710.406 2557.249  100764.28
=== Event 57 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 192473 == Nb of channels = 2 ===
16 57 -1.021068 0.013714   93.446 2400.064 2404.448    5229.67
17 57 0.058732 1.196699 43274.258 699.366 2557.249  100764.28
=== Event 58 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 195727 == Nb of channels = 2 ===
16 58 -1.020227 0.016246  228.030 2332.713 2337.934    5229.67
17 58 0.058581 1.191462 42655.516 725.535 2557.250  100764.28
=== Event 59 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 198982 == Nb of channels = 2 ===
16 59 -1.007033 -0.017723 -294.464 2430.463 2534.737    5229.67
17 59 0.058506 1.194116 43063.840 708.589 2557.249  100764.28
=== Event 60 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 202237 == Nb of channels = 2 ===
16 60 -0.997729 -0.031852 -464.394 2202.736 2557.120    5229.67
17 60 0.058962 1.197535 43201.711 701.931 2557.249  100764.28
=== Event 61 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 205491 == Nb of channels = 2 ===
16 61 -1.013907 -0.016305  -95.418 1803.119 1841.644    5229.67
17 61 0.058504 1.191483 42533.082 730.895 2557.250  100764.28
=== Event 62 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 208746 == Nb of channels = 2 ===
16 62 -1.022648 0.031522  550.949 1821.009 1826.684    5229.67
17 62 0.058833 1.194528 42797.820 719.155 2557.249  100764.28
=== Event 63 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 212001 == Nb of channels = 2 ===
16 63 -1.008885 -0.025127 -321.642 619.641 625.133    5229.67
17 63 0.058987 1.195369 43035.332 708.885 2557.249  101657.23
=== Event 64 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 215256 == Nb of channels = 2 ===
