22gen20_05_M_.dat 900 380 1.21 1.21
22gen20_06_M_.dat 900 370 1.21 1.21
22gen20_07_M_.dat 900 360 1.21 1.21 
22gen20_08_M_.dat 900 350 1.21 1.21 
22gen20_09_M_.dat 900 380 0.378 0.375
22gen20_10_M_.dat 900 370 0.378 0.375
22gen20_11_M_.dat 900 360 0.378 0.375
22gen20_12_M_.dat 900 350 0.378 0.375
22gen20_13_M_.dat 900 380 0.106 0.111
22gen20_14_M_.dat 900 370 0.106 0.111
22gen20_15_M_.dat 900 360 0.106 0.111
22gen20_16_M_.dat 900 350 0.106 0.111
22gen20_17_M_.dat 900 380 0.039 0.040
22gen20_18_M_.dat 900 370 0.039 0.040
22gen20_19_M_.dat 900 360 0.039 0.040
22gen20_20_M_.dat 900 350 0.039 0.040
23gen20_01_M_.dat 900 380 165. 207.
23gen20_03_M_.dat 900 370 165. 207.
23gen20_04_M_.dat 900 360 165. 207.
23gen20_05_M_.dat 900 350 165. 207.
23gen20_14_M_.dat 900 380 30.3 29.5
23gen20_15_M_.dat 900 370 30.3 29.5
23gen20_16_M_.dat 900 360 30.3 29.5
23gen20_17_M_.dat 900 350 30.3 29.5
23gen20_18_M_.dat 900 380 9.9 10.2
23gen20_19_M_.dat 900 370 9.9 10.2
23gen20_20_M_.dat 900 360 9.9 10.2
23gen20_21_M_.dat 900 350 9.9 10.2
