#APDhv 380
#L 34
#p_before 1.81E-6
#p_after 1.75E-6
#picoamm keysight
#led off
#∆V [V]	I(apd) [nA]	σ( I(apd) ) [nA]
0	91.644	0.065
-100	91.612	0.0646
-500	91.5453	0.0659
-1000	91.5159	0.063
-1500	91.495	0.0644
-1998	91.4737	0.0643
0	91.1999	0.0637
