#APDhv 380
#L 35
#p_before 4.38E-6
#p_after 3.83E-6
#picoamm keysight
#led off
#∆V [V]	I(apd) [nA]	σ( I(apd) ) [nA]
0	81.2225	0.094
-100	81.2099	0.0948
-500	81.1906	0.0942
-1000	81.1727	0.0946
-1500	81.158	0.0911
-2000	81.146	0.091
0	81.1276	0.0901
