#APDhv 380
#L 33
#p_before 3.87E-6
#p_after 3.22-6
#picoamm keysight
#led off
#∆V [V]	I(apd) [nA]	σ( I(apd) ) [nA]
0	104.9821	0.0815
-500	104.9439	0.0854
-1000	104.9188	0.0813
-1500	104.8861	0.082
-2000	104.8466	0.0856
#0	104.7158	0.0832
