#APDhv 380
#L 34
#p_before 4.6E-6
#p_after 3.87E-6
#picoamm keysight
#led off
#∆V [V]	I(apd) [nA]	σ( I(apd) ) [nA]
0	99.713	0.0876
-200	99.6551	0.0865
-400	99.5762	0.0873
-600	99.5373	0.0923
-800	99.5003	0.0821
-1000	99.4371	0.0856
-1200	99.3952	0.0866
-1400	99.3659	0.0833
-1600	99.3285	0.0821
-1800	99.2997	0.0848
-2000	99.2834	0.0878
#0	99.1139	0.0836
